"Timestamp","TZ","V_(S1)_PAD (1S) (V)","I_(S1)_PAD (1S) (mA)"
2024/05/08 23:45:05.001,n,-3987.3776,-600.99664
2024/05/08 23:45:10.054,n,-3986.7704,-600.99664
2024/05/08 23:45:15.000,n,-3988.2048,-601.01568
2024/05/08 23:45:20.000,n,-3986.5608,-600.91948
2024/05/08 23:45:25.000,n,-3986.7704,-600.95808
2024/05/08 23:45:30.000,n,-3986.1524,-600.97712
2024/05/08 23:45:35.000,n,-3987.3776,-600.95808
2024/05/08 23:45:40.000,n,-3987.5868,-600.91948
2024/05/08 23:45:45.000,n,-3986.5608,-600.91948
2024/05/08 23:45:50.000,n,-3986.7704,-600.95808
2024/05/08 23:45:55.000,n,-3987.9952,-600.93904
2024/05/08 23:46:00.000,n,-3987.5868,-600.99664
2024/05/08 23:46:05.000,n,-3986.1524,-600.91948
2024/05/08 23:46:10.032,n,-3986.3512,-600.95808
2024/05/08 23:46:15.000,n,-3985.744,-600.99664
2024/05/08 23:46:20.000,n,-3987.1788,-600.88092
2024/05/08 23:46:25.000,n,-3986.9692,-600.97712
2024/05/08 23:46:30.003,n,-3987.1788,-600.88092
2024/05/08 23:46:35.000,n,-3987.7912,-600.97712
2024/05/08 23:46:40.000,n,-3986.3512,-600.95808
2024/05/08 23:46:45.000,n,-3986.5608,-600.88092
2024/05/08 23:46:50.000,n,-3986.3512,-601.01568
2024/05/08 23:46:55.002,n,-3986.1524,-600.91948
2024/05/08 23:47:00.000,n,-3986.9692,-600.84236
2024/05/08 23:47:05.000,n,-3987.1788,-600.95808
2024/05/08 23:47:10.000,n,-3984.2988,-600.97712
2024/05/08 23:47:15.000,n,-3984.9168,-600.95808
2024/05/08 23:47:20.001,n,-3986.9692,-600.93904
2024/05/08 23:47:25.000,n,-3986.5608,-600.93904
2024/05/08 23:47:30.000,n,-3986.3512,-601.01568
2024/05/08 23:47:35.000,n,-3987.5868,-600.93904
2024/05/08 23:47:40.000,n,-3987.5868,-600.95808
2024/05/08 23:47:45.102,n,-3986.7704,-600.99664
2024/05/08 23:47:50.000,n,-3977.524,-600.91948
2024/05/08 23:47:55.000,n,-3986.7704,-600.91948
2024/05/08 23:48:00.000,n,-3986.5608,-600.93904
2024/05/08 23:48:05.000,n,-3986.3512,-600.90044
2024/05/08 23:48:10.000,n,-3986.5608,-600.90044
2024/05/08 23:48:15.000,n,-3986.3512,-600.97712
2024/05/08 23:48:20.000,n,-3985.744,-600.88092
2024/05/08 23:48:25.000,n,-3986.9692,-600.86188
2024/05/08 23:48:30.000,n,-3986.7704,-600.91948
2024/05/08 23:48:35.000,n,-3986.5608,-600.90044
2024/05/08 23:48:40.000,n,-3987.3776,-600.91948
2024/05/08 23:48:45.003,n,-3987.3776,-600.99664
2024/05/08 23:48:50.000,n,-3986.9692,-600.95808
2024/05/08 23:48:55.000,n,-3987.1788,-600.95808
2024/05/08 23:49:00.000,n,-3985.9428,-600.93904
2024/05/08 23:49:05.000,n,-3986.9692,-600.90044
2024/05/08 23:49:10.003,n,-3987.1788,-600.91948
2024/05/08 23:49:15.095,n,-3987.5868,-600.93904
2024/05/08 23:49:20.000,n,-3987.5868,-600.91948
2024/05/08 23:49:25.000,n,-3986.1524,-600.91948
2024/05/08 23:49:30.000,n,-3986.7704,-600.93904
2024/05/08 23:49:35.001,n,-3987.1788,-600.93904
2024/05/08 23:49:40.089,n,-3984.2988,-600.93904
2024/05/08 23:49:45.000,n,-3986.5608,-600.93904
2024/05/08 23:49:50.000,n,-3986.1524,-601.0352
2024/05/08 23:49:55.000,n,-3986.5608,-600.97712
2024/05/08 23:50:00.001,n,-3977.7332,-600.93904
2024/05/08 23:50:05.000,n,-3985.744,-600.99664
2024/05/08 23:50:10.035,n,-3981.016,-600.90044
2024/05/08 23:50:15.000,n,-3987.1788,-600.95808
2024/05/08 23:50:20.000,n,-3986.5608,-600.93904
2024/05/08 23:50:25.001,n,-3986.7704,-600.88092
2024/05/08 23:50:30.000,n,-3986.5608,-600.93904
2024/05/08 23:50:35.000,n,-3986.5608,-600.88092
2024/05/08 23:50:40.000,n,-3987.1788,-600.95808
2024/05/08 23:50:45.000,n,-3987.3776,-600.90044
2024/05/08 23:50:50.000,n,-3986.7704,-600.86188
2024/05/08 23:50:55.000,n,-3987.3776,-600.88092
2024/05/08 23:51:00.003,n,-3986.9692,-600.90044
2024/05/08 23:51:05.000,n,-3987.9952,-600.91948
2024/05/08 23:51:10.000,n,-3985.744,-600.84236
2024/05/08 23:51:15.000,n,-3987.9952,-600.91948
2024/05/08 23:51:20.000,n,-3986.3512,-600.91948
2024/05/08 23:51:25.112,n,-3986.7704,-600.84236
2024/05/08 23:51:30.000,n,-3986.7704,-600.88092
2024/05/08 23:51:35.000,n,-3985.744,-600.93904
2024/05/08 23:51:40.001,n,-3987.3776,-600.88092
2024/05/08 23:51:45.000,n,-3986.7704,-600.95808
2024/05/08 23:51:50.047,n,-3986.5608,-600.90044
2024/05/08 23:51:55.000,n,-3986.7704,-600.91948
2024/05/08 23:52:00.000,n,-3986.9692,-600.97712
2024/05/08 23:52:05.000,n,-3978.1416,-600.95808
2024/05/08 23:52:10.001,n,-3977.3144,-600.97712
2024/05/08 23:52:15.001,n,-3986.1524,-600.90044
2024/05/08 23:52:20.012,n,-3977.3144,-600.84236
2024/05/08 23:52:25.005,n,-3986.3512,-600.91948
2024/05/08 23:52:30.000,n,-3986.3512,-600.84236
2024/05/08 23:52:35.000,n,-3986.3512,-600.88092
2024/05/08 23:52:40.000,n,-3986.1524,-600.90044
2024/05/08 23:52:45.000,n,-3987.1788,-600.95808
2024/05/08 23:52:50.000,n,-3986.3512,-600.93904
2024/05/08 23:52:55.000,n,-3985.744,-600.93904
2024/05/08 23:53:00.000,n,-3986.5608,-600.88092
2024/05/08 23:53:05.001,n,-3986.1524,-600.86188
2024/05/08 23:53:10.000,n,-3985.744,-600.90044
2024/05/08 23:53:15.003,n,-3986.5608,-600.91948
2024/05/08 23:53:20.000,n,-3984.9168,-600.84236
2024/05/08 23:53:25.000,n,-3986.9692,-600.90044
2024/05/08 23:53:30.000,n,-3986.1524,-600.86188
2024/05/08 23:53:35.103,n,-3985.9428,-600.88092
2024/05/08 23:53:40.003,n,-3986.9692,-600.88092
2024/05/08 23:53:45.000,n,-3985.744,-600.88092
2024/05/08 23:53:50.000,n,-3986.1524,-600.88092
2024/05/08 23:53:55.000,n,-3986.1524,-600.88092
2024/05/08 23:54:00.000,n,-3986.7704,-600.91948
2024/05/08 23:54:05.002,n,-3977.524,-600.97712
2024/05/08 23:54:10.102,n,-3985.744,-600.91948
2024/05/08 23:54:15.000,n,-3986.1524,-600.90044
2024/05/08 23:54:20.000,n,-3986.3512,-600.86188
2024/05/08 23:54:25.000,n,-3986.1524,-600.88092
2024/05/08 23:54:30.028,n,-3984.9168,-600.78472
2024/05/08 23:54:35.000,n,-3987.1788,-600.97712
2024/05/08 23:54:40.000,n,-3986.1524,-600.88092
2024/05/08 23:54:45.000,n,-3977.524,-600.93904
2024/05/08 23:54:50.000,n,-3977.3144,-600.90044
2024/05/08 23:54:55.003,n,-3986.7704,-600.88092
2024/05/08 23:55:00.012,n,-3979.7804,-600.88092
2024/05/08 23:55:05.000,n,-3986.1524,-600.88092
2024/05/08 23:55:10.000,n,-3986.3512,-600.97712
2024/05/08 23:55:15.000,n,-3985.744,-600.80376
2024/05/08 23:55:20.001,n,-3986.1524,-600.80376
2024/05/08 23:55:25.000,n,-3986.1524,-600.91948
2024/05/08 23:55:30.004,n,-3985.744,-600.93904
2024/05/08 23:55:35.000,n,-3985.5348,-600.86188
2024/05/08 23:55:40.000,n,-3985.1264,-600.91948
2024/05/08 23:55:45.001,n,-3985.9428,-600.82332
2024/05/08 23:55:50.000,n,-3986.1524,-600.90044
2024/05/08 23:55:55.003,n,-3985.9428,-600.90044
2024/05/08 23:56:00.000,n,-3986.5608,-600.91948
2024/05/08 23:56:05.000,n,-3986.1524,-600.90044
2024/05/08 23:56:10.000,n,-3986.3512,-600.82332
2024/05/08 23:56:15.111,n,-3985.9428,-600.91948
2024/05/08 23:56:20.003,n,-3985.744,-600.91948
2024/05/08 23:56:25.000,n,-3985.3252,-600.86188
2024/05/08 23:56:30.000,n,-3985.744,-600.91948
2024/05/08 23:56:35.000,n,-3986.3512,-600.90044
2024/05/08 23:56:40.046,n,-3985.3252,-600.84236
2024/05/08 23:56:45.002,n,-3985.9428,-600.84236
2024/05/08 23:56:50.000,n,-3986.3512,-600.88092
2024/05/08 23:56:55.000,n,-3985.744,-600.84236
2024/05/08 23:57:00.000,n,-3977.1156,-600.99664
2024/05/08 23:57:05.000,n,-3986.1524,-600.86188
2024/05/08 23:57:10.002,n,-3984.5084,-600.88092
2024/05/08 23:57:15.000,n,-3985.3252,-600.88092
2024/05/08 23:57:20.000,n,-3985.5348,-600.80376
2024/05/08 23:57:25.000,n,-3985.3252,-600.86188
2024/05/08 23:57:30.000,n,-3985.5348,-600.82332
2024/05/08 23:57:35.001,n,-3986.1524,-600.82332
2024/05/08 23:57:40.000,n,-3985.9428,-600.88092
2024/05/08 23:57:45.005,n,-3984.2988,-600.84236
2024/05/08 23:57:50.000,n,-3985.1264,-600.88092
2024/05/08 23:57:55.000,n,-3985.1264,-600.82332
2024/05/08 23:58:00.002,n,-3985.9428,-600.84236
2024/05/08 23:58:05.000,n,-3985.1264,-600.84236
2024/05/08 23:58:10.004,n,-3984.574,-601.20532
2024/05/08 23:58:15.000,n,-3986.6264,-601.22484
2024/05/08 23:58:20.000,n,-3986.0192,-601.24388
2024/05/08 23:58:25.140,n,-3985.1916,-601.20532
2024/05/08 23:58:30.000,n,-3985.8096,-601.28248
2024/05/08 23:58:35.003,n,-3986.836,-601.28248
2024/05/08 23:58:40.000,n,-3986.6264,-601.28248
2024/05/08 23:58:45.000,n,-3986.218,-601.28248
2024/05/08 23:58:50.000,n,-3985.6,-601.32104
2024/05/08 23:58:55.000,n,-3985.1916,-601.22484
2024/05/08 23:59:00.003,n,-3986.0192,-601.302
2024/05/08 23:59:05.000,n,-3985.4012,-601.302
2024/05/08 23:59:10.000,n,-3986.218,-601.34056
2024/05/08 23:59:15.000,n,-3985.1916,-601.28248
2024/05/08 23:59:20.045,n,-3985.6,-601.24388
2024/05/08 23:59:25.003,n,-3985.1916,-601.22484
2024/05/08 23:59:30.000,n,-3985.6,-601.28248
2024/05/08 23:59:35.000,n,-3985.6,-601.22484
2024/05/08 23:59:40.008,n,-3977.3908,-601.34056
2024/05/08 23:59:45.000,n,-3985.4012,-601.28248
2024/05/08 23:59:50.008,n,-3975.7464,-601.26344
2024/05/08 23:59:55.000,n,-3984.9876,-601.26344
2024/05/09 00:00:00.005,n,-3986.6264,-601.24388
2024/05/09 00:00:05.000,n,-3986.218,-601.16724
