"Timestamp","TZ","V_(S1)_PAD (1S) (V)","I_(S1)_PAD (1S) (mA)"
2024/10/11 23:45:05.009,n,-3987.6124,-601.05684
2024/10/11 23:45:10.002,n,-3988.23,-601.07636
2024/10/11 23:45:15.000,n,-3987.204,-601.01924
2024/10/11 23:45:20.006,n,-3987.4024,-600.9992
2024/10/11 23:45:25.000,n,-3987.4024,-601.05684
2024/10/11 23:45:30.009,n,-3986.79,-600.98064
2024/10/11 23:45:35.002,n,-3988.0204,-601.0378
2024/10/11 23:45:40.000,n,-3987.8164,-600.9992
2024/10/11 23:45:45.005,n,-3979.1876,-601.07636
2024/10/11 23:45:50.000,n,-3987.204,-601.01924
2024/10/11 23:45:55.008,n,-3987.204,-601.0378
2024/10/11 23:46:00.001,n,-3987.8164,-600.98064
2024/10/11 23:46:05.000,n,-3986.9944,-601.0954
2024/10/11 23:46:10.005,n,-3988.0204,-601.05684
2024/10/11 23:46:15.000,n,-3987.6124,-601.1154
2024/10/11 23:46:20.008,n,-3988.0204,-601.0954
2024/10/11 23:46:25.003,n,-3988.4288,-601.05684
2024/10/11 23:46:30.011,n,-3987.8164,-601.1154
2024/10/11 23:46:35.004,n,-3977.9572,-600.96064
2024/10/11 23:46:40.000,n,-3988.4288,-601.0378
2024/10/11 23:46:45.007,n,-3987.8164,-600.96064
2024/10/11 23:46:50.000,n,-3988.23,-601.05684
2024/10/11 23:46:55.010,n,-3987.8164,-601.07636
2024/10/11 23:47:00.003,n,-3987.8164,-601.05684
2024/10/11 23:47:05.000,n,-3988.4288,-600.98064
2024/10/11 23:47:10.006,n,-3987.8164,-601.01924
2024/10/11 23:47:15.000,n,-3988.0204,-601.0378
2024/10/11 23:47:20.010,n,-3987.6124,-601.0378
2024/10/11 23:47:25.070,n,-3987.8164,-601.05684
2024/10/11 23:47:30.000,n,-3988.6384,-600.9992
2024/10/11 23:47:35.006,n,-3987.6124,-601.07636
2024/10/11 23:47:40.000,n,-3988.0204,-601.07636
2024/10/11 23:47:45.009,n,-3987.8164,-601.0954
2024/10/11 23:47:50.002,n,-3988.23,-600.96064
2024/10/11 23:47:55.000,n,-3987.8164,-601.154
2024/10/11 23:48:00.005,n,-3988.848,-601.0378
2024/10/11 23:48:05.000,n,-3987.4024,-601.154
2024/10/11 23:48:10.009,n,-3988.23,-600.96064
2024/10/11 23:48:15.002,n,-3988.6384,-601.0378
2024/10/11 23:48:20.002,n,-3987.204,-600.9992
2024/10/11 23:48:25.122,n,-3987.6124,-601.01924
2024/10/11 23:48:30.000,n,-3988.23,-601.05684
2024/10/11 23:48:35.041,n,-3977.9572,-600.98064
2024/10/11 23:48:40.001,n,-3987.8164,-601.01924
2024/10/11 23:48:45.011,n,-3988.6384,-601.0378
2024/10/11 23:48:50.004,n,-3988.0204,-601.01924
2024/10/11 23:48:55.000,n,-3987.8164,-601.07636
2024/10/11 23:49:00.007,n,-3988.0204,-601.05684
2024/10/11 23:49:05.001,n,-3987.8164,-601.05684
2024/10/11 23:49:10.011,n,-3986.9944,-601.05684
2024/10/11 23:49:15.004,n,-3988.23,-601.05684
2024/10/11 23:49:20.000,n,-3987.8164,-600.98064
2024/10/11 23:49:25.007,n,-3987.8164,-601.05684
2024/10/11 23:49:30.000,n,-3988.23,-600.9992
2024/10/11 23:49:35.010,n,-3987.8164,-601.0954
2024/10/11 23:49:40.036,n,-3987.8164,-601.05684
2024/10/11 23:49:45.000,n,-3987.8164,-600.96064
2024/10/11 23:49:50.006,n,-3988.23,-601.0378
2024/10/11 23:49:55.000,n,-3987.6124,-600.96064
2024/10/11 23:50:00.037,n,-3987.8164,-601.0378
2024/10/11 23:50:05.003,n,-3988.848,-600.9992
2024/10/11 23:50:10.000,n,-3988.4288,-601.05684
2024/10/11 23:50:15.006,n,-3987.204,-601.05684
2024/10/11 23:50:20.000,n,-3988.4288,-601.0378
2024/10/11 23:50:25.009,n,-3987.8164,-601.01924
