"Timestamp","TZ","V_(S1)_PAD (1S) (V)","I_(S1)_PAD (1S) (mA)"
2024/05/15 23:45:05.013,n,-3984.574,-600.89632
2024/05/15 23:45:10.005,n,-3984.3752,-600.91536
2024/05/15 23:45:15.000,n,-3983.9668,-600.93488
2024/05/15 23:45:20.008,n,-3983.3488,-600.83772
2024/05/15 23:45:25.001,n,-3984.7836,-600.95392
2024/05/15 23:45:30.011,n,-3984.1656,-600.89632
2024/05/15 23:45:35.120,n,-3975.1288,-600.93488
2024/05/15 23:45:40.000,n,-3984.574,-600.85772
2024/05/15 23:45:45.007,n,-3984.574,-600.89632
2024/05/15 23:45:50.001,n,-3983.5476,-600.91536
2024/05/15 23:45:55.071,n,-3975.3328,-600.87628
2024/05/15 23:46:00.004,n,-3984.3752,-600.89632
2024/05/15 23:46:05.000,n,-3982.5216,-600.91536
2024/05/15 23:46:10.007,n,-3983.5476,-600.95392
2024/05/15 23:46:15.000,n,-3983.7572,-600.91536
2024/05/15 23:46:20.010,n,-3984.1656,-601.06964
2024/05/15 23:46:25.003,n,-3983.7572,-600.97344
2024/05/15 23:46:30.013,n,-3983.1396,-600.87628
2024/05/15 23:46:35.006,n,-3983.7572,-600.95392
2024/05/15 23:46:40.000,n,-3983.9668,-600.89632
2024/05/15 23:46:45.009,n,-3975.9508,-601.04964
2024/05/15 23:46:50.003,n,-3984.1656,-600.91536
2024/05/15 23:46:55.012,n,-3984.574,-600.87628
2024/05/15 23:47:00.006,n,-3984.3752,-600.93488
2024/05/15 23:47:05.000,n,-3984.1656,-600.85772
2024/05/15 23:47:10.009,n,-3983.9668,-600.93488
2024/05/15 23:47:15.003,n,-3983.3488,-600.91536
2024/05/15 23:47:20.013,n,-3983.7572,-600.87628
2024/05/15 23:47:25.037,n,-3984.3752,-600.91536
2024/05/15 23:47:30.000,n,-3983.9668,-600.87628
2024/05/15 23:47:35.009,n,-3983.9668,-600.97344
2024/05/15 23:47:40.002,n,-3974.9244,-600.91536
2024/05/15 23:47:45.012,n,-3983.7572,-600.87628
2024/05/15 23:47:50.005,n,-3984.3752,-600.87628
2024/05/15 23:47:55.000,n,-3983.5476,-600.93488
2024/05/15 23:48:00.008,n,-3982.9352,-600.85772
2024/05/15 23:48:05.044,n,-3984.574,-600.89632
2024/05/15 23:48:10.011,n,-3984.7836,-600.97344
2024/05/15 23:48:15.005,n,-3983.9668,-600.93488
2024/05/15 23:48:20.000,n,-3984.1656,-600.87628
2024/05/15 23:48:25.007,n,-3983.9668,-600.93488
2024/05/15 23:48:30.001,n,-3982.1132,-600.97344
2024/05/15 23:48:35.011,n,-3984.1656,-600.91536
2024/05/15 23:48:40.004,n,-3983.3488,-600.93488
2024/05/15 23:48:45.014,n,-3984.3752,-600.89632
2024/05/15 23:48:50.008,n,-3984.3752,-600.99248
2024/05/15 23:48:55.000,n,-3983.9668,-600.93488
2024/05/15 23:49:00.010,n,-3984.1656,-600.93488
2024/05/15 23:49:05.003,n,-3983.7572,-600.89632
2024/05/15 23:49:10.014,n,-3984.3752,-600.87628
2024/05/15 23:49:15.007,n,-3984.7836,-600.99248
2024/05/15 23:49:20.000,n,-3983.5476,-600.87628
2024/05/15 23:49:25.010,n,-3983.3488,-600.81916
2024/05/15 23:49:30.003,n,-3983.5476,-600.89632
2024/05/15 23:49:35.018,n,-3982.3172,-600.95392
2024/05/15 23:49:40.006,n,-3983.7572,-600.87628
2024/05/15 23:49:45.000,n,-3983.7572,-600.91536
2024/05/15 23:49:50.010,n,-3975.3328,-600.99248
2024/05/15 23:49:55.002,n,-3984.1656,-600.95392
2024/05/15 23:50:00.012,n,-3983.7572,-600.91536
2024/05/15 23:50:05.022,n,-3983.9668,-600.91536
2024/05/15 23:50:10.000,n,-3983.5476,-600.91536
2024/05/15 23:50:15.042,n,-3984.3752,-600.85772
2024/05/15 23:50:20.002,n,-3984.3752,-600.95392
2024/05/15 23:50:25.012,n,-3983.5476,-600.93488
2024/05/15 23:50:30.005,n,-3984.1656,-600.91536
2024/05/15 23:50:35.000,n,-3984.574,-600.93488
2024/05/15 23:50:40.010,n,-3984.1656,-600.89632
2024/05/15 23:50:45.002,n,-3984.7836,-600.91536
2024/05/15 23:50:50.012,n,-3984.574,-600.91536
2024/05/15 23:50:55.005,n,-3983.9668,-600.93488
2024/05/15 23:51:00.015,n,-3984.7836,-600.85772
2024/05/15 23:51:05.008,n,-3984.7836,-600.93488
2024/05/15 23:51:10.001,n,-3975.7464,-600.81916
2024/05/15 23:51:15.011,n,-3984.574,-600.97344
2024/05/15 23:51:20.004,n,-3984.7836,-600.95392
2024/05/15 23:51:25.014,n,-3983.7572,-600.87628
2024/05/15 23:51:30.007,n,-3985.4012,-600.93488
2024/05/15 23:51:35.001,n,-3983.5476,-600.85772
2024/05/15 23:51:40.012,n,-3984.574,-600.95392
2024/05/15 23:51:45.004,n,-3985.1916,-600.95392
2024/05/15 23:51:50.009,n,-3984.1656,-600.99248
2024/05/15 23:51:55.007,n,-3983.9668,-600.95392
2024/05/15 23:52:00.000,n,-3974.7204,-601.01104
2024/05/15 23:52:05.010,n,-3984.1656,-600.85772
2024/05/15 23:52:10.003,n,-3984.7836,-600.87628
2024/05/15 23:52:15.025,n,-3983.7572,-600.91536
2024/05/15 23:52:20.006,n,-3978.8304,-600.93488
2024/05/15 23:52:25.000,n,-3984.3752,-600.91536
2024/05/15 23:52:30.010,n,-3983.5476,-600.89632
2024/05/15 23:52:35.003,n,-3984.3752,-601.03108
2024/05/15 23:52:40.013,n,-3983.5476,-600.91536
2024/05/15 23:52:45.171,n,-3983.9668,-600.95392
2024/05/15 23:52:50.000,n,-3984.9928,-600.95392
2024/05/15 23:52:55.050,n,-3984.3752,-600.93488
2024/05/15 23:53:00.002,n,-3984.3752,-600.87628
2024/05/15 23:53:05.012,n,-3984.1656,-600.91536
2024/05/15 23:53:10.007,n,-3983.9668,-600.93488
2024/05/15 23:53:15.015,n,-3985.1916,-600.91536
2024/05/15 23:53:20.009,n,-3984.7836,-600.95392
2024/05/15 23:53:25.003,n,-3983.1396,-600.95392
2024/05/15 23:53:30.012,n,-3984.3752,-600.93488
2024/05/15 23:53:35.005,n,-3985.1916,-600.91536
2024/05/15 23:53:40.016,n,-3984.3752,-600.93488
2024/05/15 23:53:45.008,n,-3984.7836,-600.83772
2024/05/15 23:53:50.101,n,-3984.3752,-600.97344
2024/05/15 23:53:55.012,n,-3984.1656,-600.99248
2024/05/15 23:54:00.005,n,-3984.3752,-600.95392
2024/05/15 23:54:05.015,n,-3983.9668,-600.89632
2024/05/15 23:54:10.008,n,-3984.3752,-600.93488
2024/05/15 23:54:15.001,n,-3984.9928,-600.93488
2024/05/15 23:54:20.011,n,-3984.7836,-600.83772
2024/05/15 23:54:25.004,n,-3983.3488,-600.89632
2024/05/15 23:54:30.014,n,-3984.7836,-600.91536
2024/05/15 23:54:35.007,n,-3984.1656,-600.93488
2024/05/15 23:54:40.034,n,-3984.3752,-600.95392
2024/05/15 23:54:45.020,n,-3984.9928,-600.93488
