"Timestamp","TZ","V_(S1)_PAD (1S) (V)","I_(S1)_PAD (1S) (mA)"
2024/05/12 23:53:50.000,n,-3984.514,-600.99256
2024/05/12 23:53:55.000,n,-3985.3308,-601.08876
2024/05/12 23:54:00.000,n,-3982.4616,-601.03112
2024/05/12 23:54:05.000,n,-3983.8964,-601.12732
2024/05/12 23:54:10.000,n,-3984.514,-600.95396
2024/05/12 23:54:15.000,n,-3984.0948,-600.97304
2024/05/12 23:54:20.031,n,-3984.7128,-600.97304
2024/05/12 23:54:25.000,n,-3984.0948,-601.0116
2024/05/12 23:54:30.016,n,-3976.0896,-601.03112
2024/05/12 23:54:35.144,n,-3982.6608,-600.99256
2024/05/12 23:54:40.000,n,-3984.3048,-601.0116
2024/05/12 23:54:45.000,n,-3985.1212,-600.93492
2024/05/12 23:54:50.000,n,-3984.3048,-600.95396
2024/05/12 23:54:55.027,n,-3984.514,-600.95396
2024/05/12 23:55:00.000,n,-3984.7128,-600.97304
2024/05/12 23:55:05.000,n,-3975.2676,-601.08876
2024/05/12 23:55:10.000,n,-3984.514,-601.06972
2024/05/12 23:55:15.000,n,-3984.0948,-601.0116
2024/05/12 23:55:20.000,n,-3975.4772,-600.99256
2024/05/12 23:55:25.000,n,-3984.9224,-600.9154
2024/05/12 23:55:30.001,n,-3984.3048,-601.0116
2024/05/12 23:55:35.000,n,-3984.9224,-600.99256
2024/05/12 23:55:40.000,n,-3985.9488,-601.05016
2024/05/12 23:55:45.000,n,-3984.9224,-601.0116
2024/05/12 23:55:50.000,n,-3985.1212,-601.03112
2024/05/12 23:55:55.000,n,-3985.3308,-600.99256
2024/05/12 23:56:00.000,n,-3985.3308,-600.99256
2024/05/12 23:56:05.006,n,-3980.608,-601.08876
2024/05/12 23:56:10.112,n,-3984.7128,-601.0116
2024/05/12 23:56:15.000,n,-3982.6608,-600.97304
2024/05/12 23:56:20.001,n,-3984.514,-600.97304
2024/05/12 23:56:25.000,n,-3984.9224,-601.05016
2024/05/12 23:56:30.000,n,-3984.7128,-601.0116
2024/05/12 23:56:35.000,n,-3984.9224,-600.99256
2024/05/12 23:56:40.000,n,-3978.9696,-600.87684
2024/05/12 23:56:45.000,n,-3984.0948,-600.97304
2024/05/12 23:56:50.000,n,-3984.514,-601.0116
2024/05/12 23:56:55.000,n,-3983.8964,-600.95396
2024/05/12 23:57:00.000,n,-3983.6868,-600.95396
2024/05/12 23:57:05.006,n,-3975.0636,-600.97304
2024/05/12 23:57:10.000,n,-3984.7128,-600.95396
2024/05/12 23:57:15.000,n,-3984.7128,-601.0116
2024/05/12 23:57:20.000,n,-3984.7128,-600.99256
2024/05/12 23:57:25.000,n,-3984.0948,-600.97304
2024/05/12 23:57:30.000,n,-3984.3048,-601.0116
2024/05/12 23:57:35.000,n,-3983.8964,-600.99256
2024/05/12 23:57:40.000,n,-3984.3048,-600.99256
2024/05/12 23:57:45.001,n,-3984.7128,-601.03112
2024/05/12 23:57:50.000,n,-3984.7128,-600.99256
2024/05/12 23:57:55.000,n,-3985.7392,-601.03112
2024/05/12 23:58:00.000,n,-3983.488,-600.99256
2024/05/12 23:58:05.000,n,-3984.3048,-600.95396
2024/05/12 23:58:10.001,n,-3974.4508,-600.99256
2024/05/12 23:58:15.000,n,-3983.8964,-600.93492
2024/05/12 23:58:20.000,n,-3984.514,-600.97304
2024/05/12 23:58:25.000,n,-3983.8964,-600.9154
2024/05/12 23:58:30.000,n,-3984.3048,-600.95396
2024/05/12 23:58:35.000,n,-3984.514,-601.06972
2024/05/12 23:58:40.000,n,-3984.3048,-600.97304
2024/05/12 23:58:45.031,n,-3984.514,-600.99256
2024/05/12 23:58:50.000,n,-3984.514,-600.99256
2024/05/12 23:58:55.000,n,-3983.8964,-600.97304
2024/05/12 23:59:00.000,n,-3985.7392,-601.0116
2024/05/12 23:59:05.000,n,-3984.7128,-600.97304
2024/05/12 23:59:10.000,n,-3984.7128,-600.95396
2024/05/12 23:59:15.079,n,-3984.3048,-600.95396
2024/05/12 23:59:20.000,n,-3983.488,-601.10828
2024/05/12 23:59:25.000,n,-3985.1212,-600.97304
2024/05/12 23:59:30.000,n,-3984.7128,-600.9154
2024/05/12 23:59:35.000,n,-3984.3048,-600.97304
2024/05/12 23:59:40.000,n,-3984.9224,-600.89636
2024/05/12 23:59:45.000,n,-3984.0948,-600.93492
2024/05/12 23:59:50.000,n,-3983.8964,-601.0116
2024/05/12 23:59:55.000,n,-3985.1212,-600.95396
2024/05/13 00:00:00.002,n,-3984.7128,-600.89636
2024/05/13 00:00:05.000,n,-3984.514,-600.99256
2024/05/13 00:00:10.000,n,-3985.5404,-600.97304
2024/05/13 00:00:15.000,n,-3984.7128,-601.0116
2024/05/13 00:00:20.000,n,-3984.9224,-600.99256
2024/05/13 00:00:25.002,n,-3985.5404,-600.95396
2024/05/13 00:00:30.135,n,-3984.7128,-600.99256
2024/05/13 00:00:35.000,n,-3984.0948,-600.99256
2024/05/13 00:00:40.065,n,-3984.3048,-600.99256
2024/05/13 00:00:45.000,n,-3985.7392,-600.9154
2024/05/13 00:00:50.067,n,-3976.9168,-600.95396
2024/05/13 00:00:55.000,n,-3985.1212,-601.05016
2024/05/13 00:01:00.000,n,-3985.3308,-600.95396
2024/05/13 00:01:05.000,n,-3984.7128,-600.93492
2024/05/13 00:01:10.000,n,-3985.1212,-600.95396
2024/05/13 00:01:15.002,n,-3984.9224,-600.87684
2024/05/13 00:01:20.000,n,-3984.3048,-600.95396
2024/05/13 00:01:25.000,n,-3985.5404,-600.97304
2024/05/13 00:01:30.000,n,-3984.9224,-600.97304
2024/05/13 00:01:35.000,n,-3984.7128,-600.97304
2024/05/13 00:01:40.001,n,-3985.1212,-600.99256
2024/05/13 00:01:45.000,n,-3985.1212,-600.95396
2024/05/13 00:01:50.000,n,-3984.3048,-600.93492
2024/05/13 00:01:55.000,n,-3984.7128,-600.9154
2024/05/13 00:02:00.000,n,-3984.514,-601.0116
2024/05/13 00:02:05.001,n,-3984.7128,-600.97304
2024/05/13 00:02:10.065,n,-3984.0948,-600.97304
2024/05/13 00:02:15.003,n,-3986.1528,-600.99256
2024/05/13 00:02:20.000,n,-3984.3048,-600.97304
2024/05/13 00:02:25.000,n,-3985.1212,-601.05016
2024/05/13 00:02:30.000,n,-3983.6868,-600.97304
2024/05/13 00:02:35.118,n,-3975.8856,-600.9154
2024/05/13 00:02:40.003,n,-3984.514,-600.97304
2024/05/13 00:02:45.046,n,-3983.8964,-600.9154
2024/05/13 00:02:50.000,n,-3984.7128,-600.95396
2024/05/13 00:02:55.000,n,-3984.0948,-600.95396
2024/05/13 00:03:00.000,n,-3984.9224,-600.97304
2024/05/13 00:03:05.003,n,-3983.8964,-600.99256
2024/05/13 00:03:10.000,n,-3983.8964,-600.95396
2024/05/13 00:03:15.000,n,-3984.9224,-600.95396
2024/05/13 00:03:20.000,n,-3984.514,-601.0116
2024/05/13 00:03:25.000,n,-3984.3048,-600.97304
2024/05/13 00:03:30.002,n,-3984.9224,-601.0116
2024/05/13 00:03:35.000,n,-3984.3048,-600.93492
