"Timestamp","TZ","V_(S1)_PAD (1S) (V)","I_(S1)_PAD (1S) (mA)"
2024/10/09 23:45:05.009,n,-3987.0448,-600.90156
2024/10/09 23:45:10.001,n,-3986.8404,-600.93964
2024/10/09 23:45:15.000,n,-3987.6572,-600.8244
2024/10/09 23:45:20.123,n,-3977.798,-600.93964
2024/10/09 23:45:25.000,n,-3987.0448,-600.9206
2024/10/09 23:45:30.007,n,-3987.8668,-600.86296
2024/10/09 23:45:35.000,n,-3987.0448,-600.90156
2024/10/09 23:45:40.000,n,-3986.4268,-600.84344
2024/10/09 23:45:45.004,n,-3987.4584,-600.90156
2024/10/09 23:45:50.026,n,-3986.4268,-600.93964
2024/10/09 23:45:55.007,n,-3987.0448,-600.93964
2024/10/09 23:46:00.000,n,-3987.0448,-600.9782
2024/10/09 23:46:05.000,n,-3987.4584,-600.86296
2024/10/09 23:46:10.003,n,-3986.6312,-600.95916
2024/10/09 23:46:15.000,n,-3987.8668,-600.9782
2024/10/09 23:46:20.007,n,-3986.8404,-600.9782
2024/10/09 23:46:25.078,n,-3987.0448,-600.95916
2024/10/09 23:46:30.010,n,-3987.0448,-600.90156
2024/10/09 23:46:35.003,n,-3986.8404,-600.93964
2024/10/09 23:46:40.000,n,-3986.6312,-600.93964
2024/10/09 23:46:45.007,n,-3986.6312,-600.84344
2024/10/09 23:46:50.000,n,-3987.6572,-600.90156
2024/10/09 23:46:55.007,n,-3983.762,-600.9206
2024/10/09 23:47:00.003,n,-3987.2488,-600.90156
2024/10/09 23:47:05.000,n,-3987.4584,-600.84344
2024/10/09 23:47:10.021,n,-3978.6256,-600.93964
2024/10/09 23:47:15.051,n,-3976.154,-600.882
2024/10/09 23:47:20.009,n,-3986.4268,-600.86296
2024/10/09 23:47:25.003,n,-3986.8404,-600.9206
2024/10/09 23:47:30.000,n,-3987.6572,-600.9206
2024/10/09 23:47:35.005,n,-3987.0448,-600.84344
2024/10/09 23:47:40.000,n,-3987.2488,-600.86296
2024/10/09 23:47:45.008,n,-3987.0448,-600.93964
2024/10/09 23:47:50.002,n,-3987.8668,-600.8244
2024/10/09 23:47:55.000,n,-3986.0132,-600.882
2024/10/09 23:48:00.005,n,-3987.8668,-600.93964
2024/10/09 23:48:05.082,n,-3986.2228,-600.90156
