datetime,x,y,z
1989-03-16 00:00:00,16587,-4153,54691
1989-03-16 00:00:10,16586,-4153,54690
1989-03-16 00:00:20,16587,-4153,54691
1989-03-16 00:00:30,16588,-4153,54691
1989-03-16 00:00:40,16587,-4152,54691
1989-03-16 00:00:50,16587,-4153,54692
1989-03-16 00:01:00,16586,-4153,54691
1989-03-16 00:01:10,16586,-4153,54691
1989-03-16 00:01:20,16586,-4153,54692
1989-03-16 00:01:30,16587,-4153,54692
1989-03-16 00:01:40,16587,-4152,54692
1989-03-16 00:01:50,16586,-4153,54691
1989-03-16 00:02:00,16586,-4153,54691
1989-03-16 00:02:10,16586,-4152,54692
1989-03-16 00:02:20,16586,-4153,54691
1989-03-16 00:02:30,16586,-4154,54691
1989-03-16 00:02:40,16586,-4154,54691
1989-03-16 00:02:50,16587,-4154,54691
1989-03-16 00:03:00,16586,-4153,54692
1989-03-16 00:03:10,16587,-4154,54692
1989-03-16 00:03:20,16586,-4153,54693
1989-03-16 00:03:30,16587,-4153,54691
1989-03-16 00:03:40,16587,-4153,54691
1989-03-16 00:03:50,16587,-4153,54692
1989-03-16 00:04:00,16587,-4153,54691
1989-03-16 00:04:10,16587,-4153,54692
1989-03-16 00:04:20,16587,-4153,54692
1989-03-16 00:04:30,16586,-4153,54691
1989-03-16 00:04:40,16587,-4152,54692
1989-03-16 00:04:50,16589,-4152,54692
1989-03-16 00:05:00,16588,-4152,54691
1989-03-16 00:05:10,16587,-4153,54691
1989-03-16 00:05:20,16588,-4152,54691
1989-03-16 00:05:30,16589,-4151,54691
1989-03-16 00:05:40,16589,-4151,54692
1989-03-16 00:05:50,16589,-4151,54692
1989-03-16 00:06:00,16588,-4151,54691
1989-03-16 00:06:10,16588,-4151,54692
1989-03-16 00:06:20,16587,-4151,54692
1989-03-16 00:06:30,16589,-4151,54690
1989-03-16 00:06:40,16588,-4151,54692
1989-03-16 00:06:50,16587,-4152,54691
1989-03-16 00:07:00,16589,-4151,54692
1989-03-16 00:07:10,16589,-4151,54692
1989-03-16 00:07:20,16587,-4152,54692
1989-03-16 00:07:30,16588,-4151,54692
1989-03-16 00:07:40,16588,-4152,54691
1989-03-16 00:07:50,16586,-4151,54691
1989-03-16 00:08:00,16587,-4152,54691
1989-03-16 00:08:10,16586,-4151,54692
1989-03-16 00:08:20,16586,-4152,54692
1989-03-16 00:08:30,16587,-4151,54692
1989-03-16 00:08:40,16586,-4153,54691
1989-03-16 00:08:50,16587,-4153,54691
1989-03-16 00:09:00,16586,-4152,54691
1989-03-16 00:09:10,16587,-4152,54692
1989-03-16 00:09:20,16586,-4153,54691
1989-03-16 00:09:30,16587,-4152,54691
1989-03-16 00:09:40,16586,-4152,54691
1989-03-16 00:09:50,16587,-4153,54690
1989-03-16 00:10:00,16588,-4152,54691
1989-03-16 00:10:10,16587,-4152,54692
1989-03-16 00:10:20,16586,-4152,54691
1989-03-16 00:10:30,16588,-4152,54690
1989-03-16 00:10:40,16589,-4152,54691
1989-03-16 00:10:50,16589,-4152,54691
1989-03-16 00:11:00,16588,-4153,54691
1989-03-16 00:11:10,16587,-4153,54691
1989-03-16 00:11:20,16588,-4153,54690
1989-03-16 00:11:30,16589,-4152,54691
1989-03-16 00:11:40,16588,-4152,54691
1989-03-16 00:11:50,16588,-4153,54691
1989-03-16 00:12:00,16589,-4152,54692
1989-03-16 00:12:10,16588,-4153,54691
1989-03-16 00:12:20,16588,-4153,54691
1989-03-16 00:12:30,16588,-4152,54692
1989-03-16 00:12:40,16587,-4153,54691
1989-03-16 00:12:50,16588,-4151,54692
1989-03-16 00:13:00,16589,-4152,54692
1989-03-16 00:13:10,16589,-4152,54691
1989-03-16 00:13:20,16588,-4152,54692
1989-03-16 00:13:30,16588,-4152,54692
1989-03-16 00:13:40,16589,-4152,54692
1989-03-16 00:13:50,16589,-4152,54691
1989-03-16 00:14:00,16588,-4151,54692
1989-03-16 00:14:10,16588,-4151,54691
1989-03-16 00:14:20,16588,-4152,54691
1989-03-16 00:14:30,16589,-4151,54691
1989-03-16 00:14:40,16588,-4151,54692
1989-03-16 00:14:50,16589,-4152,54691
1989-03-16 00:15:00,16589,-4152,54691
1989-03-16 00:15:10,16588,-4152,54691
1989-03-16 00:15:20,16586,-4153,54691
1989-03-16 00:15:30,16587,-4152,54692
1989-03-16 00:15:40,16587,-4153,54691
1989-03-16 00:15:50,16586,-4152,54690
1989-03-16 00:16:00,16586,-4152,54691
1989-03-16 00:16:10,16587,-4152,54691
