D,Time,dT
6.44357081774698,1958-02-10 09:22:27.505192,-6452.494807697419
6.455168739849793,1958-02-10 09:33:35.223984,-5784.776016298867
6.476608669261049,1958-02-10 09:44:42.942775,-5117.057224900315
6.47954285470846,1958-02-10 09:56:13.424707,-4426.575292885905
6.476429746109126,1958-02-10 10:06:58.380358,-3781.619642103214
6.481876413644165,1958-02-10 10:18:06.099149,-3113.900850704663
6.504546593968976,1958-02-10 10:29:13.817941,-2446.18205930611
6.496460501454905,1958-02-10 10:40:21.536732,-1778.4632679075592
6.499446667162833,1958-02-10 10:51:29.255523,-1110.7444765090086
6.501202581957205,1958-02-10 11:02:36.974315,-443.02568511045763
6.505418998578688,1958-02-10 11:13:44.693106,224.69310628809316
6.508405164286614,1958-02-10 11:24:52.411898,892.4118976866456
6.5113913299945425,1958-02-10 11:36:00.130689,1560.1306890851981
6.52421950301091,1958-02-10 11:47:07.849480,2227.8494804837474
6.548934343078711,1958-02-10 12:01:17.673397,3077.6733968091776
6.5482297560459735,1958-02-10 12:12:25.392188,3745.392188207727
6.537683161704792,1958-02-10 12:23:33.110980,4413.110979606281
6.550511334721163,1958-02-10 12:34:40.829771,5080.829771004829
6.548576496774868,1958-02-10 12:45:48.548562,5748.548562403382
6.54295090608791,1958-02-10 12:56:56.267354,6416.2673538019335
6.537325315400952,1958-02-10 13:08:03.986145,7083.9861452004825
6.552613990244428,1958-02-10 13:19:11.704937,7751.704936599035
6.558060657779468,1958-02-10 13:30:19.423728,8419.423727997584
6.564737576228061,1958-02-10 13:41:27.142519,9087.142519396137
6.574872559180338,1958-02-10 13:51:42.831275,9702.831275101296
6.568727068934796,1958-02-10 14:04:06.860786,10446.860785516821
6.567544818784066,1958-02-10 14:14:50.298894,11090.298893591791
6.5631494790106615,1958-02-10 14:25:58.017685,11758.017684990344
6.536609622793266,1958-02-10 14:37:05.736476,12425.736476388893
6.528523530279197,1958-02-10 14:48:13.455268,13093.455267787445
6.538891201468456,1958-02-10 14:59:21.174059,13761.174059185994
6.527114356213719,1958-02-10 15:10:28.892851,14428.892850584547
6.522719016440317,1958-02-10 15:21:36.611642,15096.611641983092
6.53185643671602,1958-02-10 15:32:44.330433,15764.330433381649
6.522540093288396,1958-02-10 15:43:52.049225,16432.0492247802
6.53362469103811,1958-02-10 15:55:22.531157,17122.531156794616
6.52113091922292,1958-02-10 16:06:07.486808,17767.48680757731
6.51550532853596,1958-02-10 16:17:15.205599,18435.205598975856
6.487735221405006,1958-02-10 16:28:22.924390,19102.924390374403
6.504254147162043,1958-02-10 16:39:30.643182,19770.643181772954
6.477714290944644,1958-02-10 16:50:38.361973,20438.361973171508
6.384740885395268,1958-02-10 17:01:46.080765,21106.080764570062
6.518133647940044,1958-02-10 17:12:53.799556,21773.79955596861
6.487903038981983,1958-02-10 17:24:01.518347,22441.51834736716
6.46751443733236,1958-02-10 17:35:09.237139,23109.237138765708
6.5234013923231595,1958-02-10 17:46:16.955930,23776.95593016426
6.455030845627537,1958-02-10 17:58:32.964143,24512.964143410394
6.437647844442,1958-02-10 18:10:33.796930,25233.796929579283
6.450476017458369,1958-02-10 18:21:41.515721,25901.515720977834
6.486678957832285,1958-02-10 18:32:49.234512,26569.23451237638
6.489665123540213,1958-02-10 18:43:56.953304,27236.95330377493
6.507414300210803,1958-02-10 18:55:04.672095,27904.672095173497
6.537465986016944,1958-02-10 19:06:12.390887,28572.390886572048
6.486321111528443,1958-02-10 19:17:20.109678,29240.109677970595
6.487845413387535,1958-02-10 19:28:03.547786,29883.547786045558
6.5710295014118305,1958-02-10 19:39:35.547261,30575.547260767693
6.44074136404108,1958-02-10 19:49:12.213490,31152.2134897028
6.451516239645055,1958-02-10 20:01:50.984844,31910.984843564802
6.500021689154526,1958-02-10 20:12:58.703635,32578.703634963356
6.4833238402455695,1958-02-10 20:24:06.422426,33246.4224263619
6.490000758694163,1958-02-10 20:35:14.141218,33914.14121776046
6.510210437191861,1958-02-10 20:46:21.860009,34581.860009159005
6.48982183554224,1958-02-10 20:57:29.578801,35249.57880055754
