Time,D,dT
1958-02-10 09:22:00,6.44357081774698,-6452.494807697419
1958-02-10 09:22:20,6.443904463373993,-6433.286069024256
1958-02-10 09:22:40,6.444238109001006,-6414.077330351093
1958-02-10 09:23:00,6.4445717546280195,-6394.86859167793
1958-02-10 09:23:20,6.444905400255032,-6375.659853004768
1958-02-10 09:23:40,6.445239045882046,-6356.451114331605
1958-02-10 09:24:00,6.445572691509058,-6337.242375658443
1958-02-10 09:24:20,6.445906337136072,-6318.03363698528
1958-02-10 09:24:40,6.4462399827630845,-6298.8248983121175
1958-02-10 09:25:00,6.446573628390098,-6279.616159638955
1958-02-10 09:25:20,6.446907274017111,-6260.407420965792
1958-02-10 09:25:40,6.447240919644124,-6241.198682292629
1958-02-10 09:26:00,6.447574565271138,-6221.989943619466
1958-02-10 09:26:20,6.4479082108981505,-6202.781204946304
1958-02-10 09:26:40,6.448241856525164,-6183.572466273141
1958-02-10 09:27:00,6.448575502152177,-6164.363727599978
1958-02-10 09:27:20,6.44890914777919,-6145.154988926816
1958-02-10 09:27:40,6.449242793406203,-6125.9462502536535
1958-02-10 09:28:00,6.449576439033216,-6106.737511580491
1958-02-10 09:28:20,6.449910084660229,-6087.528772907328
1958-02-10 09:28:40,6.450243730287243,-6068.320034234165
1958-02-10 09:29:00,6.450577375914256,-6049.111295561002
1958-02-10 09:29:20,6.450911021541269,-6029.90255688784
1958-02-10 09:29:40,6.451244667168282,-6010.693818214677
1958-02-10 09:30:00,6.451578312795295,-5991.485079541514
1958-02-10 09:30:20,6.451911958422309,-5972.276340868351
1958-02-10 09:30:40,6.452245604049321,-5953.0676021951895
1958-02-10 09:31:00,6.452579249676335,-5933.858863522027
1958-02-10 09:31:20,6.452912895303347,-5914.650124848864
1958-02-10 09:31:40,6.453246540930361,-5895.441386175701
1958-02-10 09:32:00,6.453580186557374,-5876.232647502538
1958-02-10 09:32:20,6.453913832184387,-5857.023908829376
1958-02-10 09:32:40,6.454247477811401,-5837.815170156213
1958-02-10 09:33:00,6.454581123438413,-5818.60643148305
1958-02-10 09:33:20,6.454914769065427,-5799.397692809887
1958-02-10 09:33:40,6.455322093997213,-5780.000000295845
1958-02-10 09:34:00,6.45596427839283,-5760.0000002831885
1958-02-10 09:34:20,6.456606462788447,-5740.000000270532
1958-02-10 09:34:40,6.457248647184064,-5720.0000002578745
1958-02-10 09:35:00,6.457890831579682,-5700.000000245218
1958-02-10 09:35:20,6.458533015975299,-5680.000000232561
1958-02-10 09:35:40,6.459175200370916,-5660.000000219905
1958-02-10 09:36:00,6.459817384766533,-5640.000000207248
1958-02-10 09:36:20,6.4604595691621505,-5620.000000194592
1958-02-10 09:36:40,6.4611017535577675,-5600.000000181935
1958-02-10 09:37:00,6.4617439379533845,-5580.000000169279
1958-02-10 09:37:20,6.462386122349002,-5560.000000156622
1958-02-10 09:37:40,6.4630283067446195,-5540.000000143966
1958-02-10 09:38:00,6.4636704911402365,-5520.000000131309
1958-02-10 09:38:20,6.4643126755358535,-5500.000000118653
1958-02-10 09:38:40,6.464954859931471,-5480.000000105996
1958-02-10 09:39:00,6.465597044327088,-5460.00000009334
1958-02-10 09:39:20,6.466239228722705,-5440.000000080683
1958-02-10 09:39:40,6.466881413118322,-5420.000000068027
1958-02-10 09:40:00,6.467523597513939,-5400.00000005537
1958-02-10 09:40:20,6.468165781909557,-5380.0000000427135
1958-02-10 09:40:40,6.468807966305174,-5360.000000030057
1958-02-10 09:41:00,6.469450150700791,-5340.0000000173995
1958-02-10 09:41:20,6.470092335096408,-5320.000000004743
1958-02-10 09:41:40,6.470734519492025,-5299.9999999920865
1958-02-10 09:42:00,6.471376703887642,-5279.99999997943
1958-02-10 09:42:20,6.472018888283259,-5259.999999966773
1958-02-10 09:42:40,6.472661072678876,-5239.999999954117
1958-02-10 09:43:00,6.473303257074493,-5219.99999994146
1958-02-10 09:43:20,6.473945441470111,-5199.999999928804
1958-02-10 09:43:40,6.474587625865728,-5179.999999916147
1958-02-10 09:44:00,6.475229810261345,-5159.999999903491
1958-02-10 09:44:20,6.475871994656962,-5139.999999890834
1958-02-10 09:44:40,6.476514179052579,-5119.999999878178
1958-02-10 09:45:00,6.476681153505917,-5099.99999987675
1958-02-10 09:45:20,6.476766142998366,-5079.999999877259
1958-02-10 09:45:40,6.476851132490815,-5059.9999998777685
1958-02-10 09:46:00,6.476936121983263,-5039.999999878279
1958-02-10 09:46:20,6.477021111475711,-5019.999999878788
1958-02-10 09:46:40,6.477106100968159,-4999.999999879297
1958-02-10 09:47:00,6.477191090460608,-4979.999999879807
1958-02-10 09:47:20,6.477276079953056,-4959.999999880316
1958-02-10 09:47:40,6.477361069445505,-4939.999999880825
1958-02-10 09:48:00,6.477446058937954,-4919.9999998813355
1958-02-10 09:48:20,6.477531048430402,-4899.999999881845
1958-02-10 09:48:40,6.47761603792285,-4879.999999882354
1958-02-10 09:49:00,6.477701027415299,-4859.999999882863
1958-02-10 09:49:20,6.477786016907747,-4839.999999883373
1958-02-10 09:49:40,6.477871006400195,-4819.999999883883
1958-02-10 09:50:00,6.477955995892644,-4799.999999884392
1958-02-10 09:50:20,6.478040985385093,-4779.999999884902
1958-02-10 09:50:40,6.478125974877541,-4759.999999885411
1958-02-10 09:51:00,6.478210964369989,-4739.99999988592
1958-02-10 09:51:20,6.478295953862438,-4719.99999988643
1958-02-10 09:51:40,6.478380943354886,-4699.99999988694
1958-02-10 09:52:00,6.478465932847334,-4679.999999887449
1958-02-10 09:52:20,6.4785509223397835,-4659.999999887958
