Time,D,dT
1958-02-10 10:09:00,9.878424579379226,-6638.269756260479
1958-02-10 10:09:20,9.879347425249955,-6619.732326293279
1958-02-10 10:09:40,9.880270271120686,-6601.194896326078
1958-02-10 10:10:00,9.881193116991415,-6582.657466358878
1958-02-10 10:10:20,9.882115962862146,-6564.120036391678
1958-02-10 10:10:40,9.883038808732875,-6545.5826064244775
1958-02-10 10:11:00,9.883961654603606,-6527.045176457277
1958-02-10 10:11:20,9.884884500474335,-6508.507746490077
1958-02-10 10:11:40,9.885807346345066,-6489.970316522877
1958-02-10 10:12:00,9.886730192215795,-6471.432886555676
1958-02-10 10:12:20,9.887653038086526,-6452.895456588476
1958-02-10 10:12:40,9.888575883957255,-6434.358026621276
1958-02-10 10:13:00,9.889498729827986,-6415.820596654075
1958-02-10 10:13:20,9.890421575698715,-6397.283166686875
1958-02-10 10:13:40,9.891344421569446,-6378.745736719675
1958-02-10 10:14:00,9.89212904253835,-6360.000000067689
1958-02-10 10:14:20,9.892081378990103,-6340.000000064616
1958-02-10 10:14:40,9.892033715441857,-6320.000000061544
1958-02-10 10:15:00,9.891986051893609,-6300.000000058471
1958-02-10 10:15:20,9.891938388345363,-6280.000000055399
1958-02-10 10:15:40,9.891890724797115,-6260.000000052327
1958-02-10 10:16:00,9.891843061248869,-6240.000000049255
1958-02-10 10:16:20,9.891795397700621,-6220.000000046182
1958-02-10 10:16:40,9.891747734152375,-6200.00000004311
1958-02-10 10:17:00,9.891700070604127,-6180.000000040038
1958-02-10 10:17:20,9.89165240705588,-6160.0000000369655
1958-02-10 10:17:40,9.891604743507633,-6140.000000033893
1958-02-10 10:18:00,9.891557079959385,-6120.000000030821
1958-02-10 10:18:20,9.89150941641114,-6100.000000027749
1958-02-10 10:18:40,9.891461752862892,-6080.000000024676
1958-02-10 10:19:00,9.891492368656056,-6060.000000021603
1958-02-10 10:19:20,9.891551812683558,-6040.000000018531
1958-02-10 10:19:40,9.891611256711059,-6020.000000015459
1958-02-10 10:20:00,9.89167070073856,-6000.000000012386
1958-02-10 10:20:20,9.891730144766061,-5980.000000009314
1958-02-10 10:20:40,9.891789588793563,-5960.000000006242
1958-02-10 10:21:00,9.891849032821064,-5940.00000000317
1958-02-10 10:21:20,9.891908476848565,-5920.000000000097
1958-02-10 10:21:40,9.891967920876066,-5899.999999997025
1958-02-10 10:22:00,9.892027364903567,-5879.999999993953
1958-02-10 10:22:20,9.892086808931069,-5859.9999999908805
1958-02-10 10:22:40,9.89214625295857,-5839.999999987808
1958-02-10 10:23:00,9.892205696986071,-5819.999999984736
1958-02-10 10:23:20,9.892265141013572,-5799.999999981665
1958-02-10 10:23:40,9.892591382795272,-5779.99999998813
1958-02-10 10:24:00,9.893486474563392,-5760.000000014933
1958-02-10 10:24:20,9.894381566331512,-5740.000000041735
1958-02-10 10:24:40,9.895276658099634,-5720.000000068538
1958-02-10 10:25:00,9.896171749867754,-5700.0000000953405
1958-02-10 10:25:20,9.897066841635874,-5680.000000122143
1958-02-10 10:25:40,9.897961933403995,-5660.000000148945
1958-02-10 10:26:00,9.898857025172115,-5640.000000175748
1958-02-10 10:26:20,9.899752116940235,-5620.000000202551
