 Format                 IAGA-2002                                    |
 Source of Data         Geological Survey of Canada (GSC)            |
 Station Name           St Johns                                     |
 IAGA CODE              STJ                                          |
 Geodetic Latitude      47.595                                       |
 Geodetic Longitude     307.323                                      |
 Elevation              100                                          |
 Reported               XYZF                                         |
 Sensor Orientation     XYZF                                         |
 Digital Sampling       1.0 seconds                                  |
 Data Interval Type     Average 1-Minute (00:30-01:29)               |
 Data Type              Definitive                                   |
 #                                                                   |
 # CONDITIONS OF USE: The use of this data in publications           |
 # is conditional on an acknowledgement of the form:                 |
 # The results presented in this paper rely on the data collected at |
 # St Johns.  We thank the Geological Survey of Canada for           |
 # supporting its operation.                                         |
 #                                                                   |
DATE       TIME         DOY     STJX      STJY      STJZ      STJF   | 
1989-03-12 01:14:00.000 071     17200.00  -7482.00  49438.00  52877.10
1989-03-12 01:15:00.000 071     17201.00  -7481.00  49437.00  52876.60
1989-03-12 01:16:00.000 071     17202.00  -7481.00  49437.00  52876.70
1989-03-12 01:17:00.000 071     17204.00  -7481.00  49438.00  52879.70
1989-03-12 01:18:00.000 071     17206.00  -7480.00  49436.00  52878.50
1989-03-12 01:19:00.000 071     17207.00  -7479.00  49434.00  52876.30
1989-03-12 01:20:00.000 071     17208.00  -7477.00  49430.00  52871.70
1989-03-12 01:21:00.000 071     17211.00  -7474.00  49427.00  52869.70
1989-03-12 01:22:00.000 071     17212.00  -7472.00  49423.00  52866.30
1989-03-12 01:23:00.000 071     17214.00  -7471.00  49422.00  52865.40
1989-03-12 01:24:00.000 071     17215.00  -7471.00  49421.00  52865.50
1989-03-12 01:25:00.000 071     17216.00  -7473.00  49420.00  52864.70
1989-03-12 01:26:00.000 071     17217.00  -7474.00  49420.00  52865.50
1989-03-12 01:27:00.000 071     17217.00  -7476.00  49420.00  52866.20
1989-03-12 01:28:00.000 071     17218.00  -7478.00  49420.00  52865.80
1989-03-12 01:29:00.000 071     17217.00  -7481.00  49421.00  52867.90
1989-03-12 01:30:00.000 071     17217.00  -7484.00  49421.00  52868.00
1989-03-12 01:31:00.000 071     17217.00  -7486.00  49422.00  52869.80
1989-03-12 01:32:00.000 071     17216.00  -7488.00  49422.00  52869.30
1989-03-12 01:33:00.000 071     17215.00  -7490.00  49421.00  52868.80
1989-03-12 01:34:00.000 071     17214.00  -7489.00  49418.00  52865.40
1989-03-12 01:35:00.000 071     17212.00  -7488.00  49416.00  52862.80
1989-03-12 01:36:00.000 071     17210.00  -7489.00  49416.00  52861.70
1989-03-12 01:37:00.000 071     17207.00  -7489.00  49416.00  52861.30
1989-03-12 01:38:00.000 071     17204.00  -7489.00  49416.00  52858.80
1989-03-12 01:39:00.000 071     17201.00  -7489.00  49415.00  52857.40
1989-03-12 01:40:00.000 071     17198.00  -7490.00  49414.00  52855.10
1989-03-12 01:41:00.000 071     17197.00  -7489.00  49415.00  52856.20
1989-03-12 01:42:00.000 071     17198.00  -7489.00  49416.00  52858.20
1989-03-12 01:43:00.000 071     17197.00  -7489.00  49419.00  52860.60
1989-03-12 01:44:00.000 071     17197.00  -7489.00  49421.00  52862.40
1989-03-12 01:45:00.000 071     17197.00  -7489.00  49422.00  52863.00
1989-03-12 01:46:00.000 071     17199.00  -7488.00  49422.00  52863.40
1989-03-12 01:47:00.000 071     17200.00  -7487.00  49422.00  52863.20
1989-03-12 01:48:00.000 071     17201.00  -7487.00  49425.00  52866.30
1989-03-12 01:49:00.000 071     17201.00  -7487.00  49428.00  52870.00
1989-03-12 01:50:00.000 071     17205.00  -7488.00  49431.00  52874.40
1989-03-12 01:51:00.000 071     17208.00  -7489.00  49433.00  52877.20
1989-03-12 01:52:00.000 071     17209.00  -7490.00  49434.00  52877.70
