 Format                 IAGA-2002                                    |
 Source of Data         Geological Survey of Canada (GSC)            |
 Station Name           St Johns                                     |
 IAGA CODE              STJ                                          |
 Geodetic Latitude      47.595                                       |
 Geodetic Longitude     307.323                                      |
 Elevation              100                                          |
 Reported               XYZF                                         |
 Sensor Orientation     XYZF                                         |
 Digital Sampling       1.0 seconds                                  |
 Data Interval Type     Average 1-Minute (00:30-01:29)               |
 Data Type              Definitive                                   |
 #                                                                   |
 # CONDITIONS OF USE: The use of this data in publications           |
 # is conditional on an acknowledgement of the form:                 |
 # The results presented in this paper rely on the data collected at |
 # St Johns.  We thank the Geological Survey of Canada for           |
 # supporting its operation.                                         |
 #                                                                   |
DATE       TIME         DOY     STJX      STJY      STJZ      STJF   | 
1989-03-13 01:14:00.000 072     17227.00  -7497.00  49407.00  52859.20
1989-03-13 01:15:00.000 072     17227.00  -7496.00  49407.00  52858.80
1989-03-13 01:16:00.000 072     17226.00  -7496.00  49407.00  52859.40
1989-03-13 01:17:00.000 072     17227.00  -7496.00  49407.00  52858.90
1989-03-13 01:18:00.000 072     17228.00  -7497.00  49408.00  52860.30
1989-03-13 01:19:00.000 072     17230.00  -7497.00  49410.00  52863.60
1989-03-13 01:20:00.000 072     17230.00  -7497.00  49410.00  52862.90
1989-03-13 01:21:00.000 072     17231.00  -7497.00  49410.00  52865.10
1989-03-13 01:22:00.000 072     17231.00  -7497.00  49411.00  52864.70
1989-03-13 01:23:00.000 072     17230.00  -7497.00  49411.00  52863.50
1989-03-13 01:24:00.000 072     17230.00  -7497.00  49410.00  52863.10
1989-03-13 01:25:00.000 072     17231.00  -7497.00  49410.00  52863.80
1989-03-13 01:26:00.000 072     17231.00  -7496.00  49409.00  52862.80
1989-03-13 01:27:00.000 072     17239.00  -7498.00  49411.00  52867.90
1989-03-13 01:28:00.000 072     17266.00  -7510.00  49430.00  52896.10
1989-03-13 01:29:00.000 072     17292.00  -7525.00  49447.00  52922.60
1989-03-13 01:30:00.000 072     17299.00  -7523.00  49439.00  52916.90
1989-03-13 01:31:00.000 072     17292.00  -7518.00  49424.00  52899.90
1989-03-13 01:32:00.000 072     17287.00  -7514.00  49413.00  52887.40
1989-03-13 01:33:00.000 072     17279.00  -7513.00  49407.00  52879.00
1989-03-13 01:34:00.000 072     17274.00  -7511.00  49402.00  52872.40
1989-03-13 01:35:00.000 072     17270.00  -7508.00  49397.00  52865.10
1989-03-13 01:36:00.000 072     17268.00  -7505.00  49393.00  52861.20
1989-03-13 01:37:00.000 072     17269.00  -7500.00  49386.00  52854.30
1989-03-13 01:38:00.000 072     17272.00  -7499.00  49390.00  52858.90
1989-03-13 01:39:00.000 072     17276.00  -7501.00  49394.00  52864.20
1989-03-13 01:40:00.000 072     17278.00  -7501.00  49394.00  52864.50
1989-03-13 01:41:00.000 072     17280.00  -7499.00  49390.00  52861.10
