start_time,end_time,Vt_min,Vt_max,V_min,V_max,V.00_min,V.00_max,V.01_min,V.01_max,V.02_min,V.02_max,V.03_min,V.03_max,V.04_min,V.04_max,V.05_min,V.05_max,V.06_min,V.06_max,V.07_min,V.07_max,V.08_min,V.08_max
1989-03-12 18:00:00,1989-03-12 18:59:00,0.000795753,3.16311,0.0417086,12.7276,0.039761,1.45662,0.00952591,0.812385,0.0536,1.4144,0.00504812,0.694587,0.00115674,1.21436,0.00842653,1.13905,0.000661907,2.42279,0.00126767,1.84518,0.247735,4.59914
1989-03-12 19:00:00,1989-03-12 19:59:00,0.0471768,9.37002,0.311883,20.77,0.0213138,1.77015,0.600146,1.34486,0.062799,4.53008,0.000300432,0.978844,0.00601278,1.61055,0.00237087,1.47562,0.106768,4.45757,0.0284651,1.45987,0.134704,4.53065
1989-03-12 20:00:00,1989-03-12 20:59:00,4.72146e-05,6.79886,0.0112853,13.8489,0.00241274,0.802886,0.324594,0.90113,0.000846506,3.26061,0.00916317,0.694121,0.003113,1.11952,0.00283483,1.03937,0.0222049,3.28502,0.00167756,1.02873,0.0642312,2.60325
1989-03-12 21:00:00,1989-03-12 21:59:00,1.36044,4.49034,2.04044,9.44386,0.0937476,0.809173,0.500769,0.82762,0.365491,1.96913,0.0603932,0.385216,0.0349223,0.604409,0.0710072,0.566475,0.598011,1.89949,0.196879,1.06741,0.00363046,1.76546
1989-03-12 22:00:00,1989-03-12 22:59:00,1.42292,6.18869,0.232916,14.6987,0.00473757,1.45356,0.212354,1.07526,0.608737,2.7883,0.0599759,0.532991,0.0385885,0.879156,0.0597103,0.79152,0.575997,2.42357,0.0209647,1.31921,0.0136537,3.50314
1989-03-12 23:00:00,1989-03-12 23:59:00,0.285154,6.51773,0.509329,14.7321,0.0271763,1.11718,0.00366652,0.998294,0.0626752,2.91963,0.00134054,0.528554,0.0146642,0.863816,0.00153412,0.776177,0.0357824,2.48975,0.0790981,2.75803,0.018166,5.79481
1989-03-13 00:00:00,1989-03-13 00:59:00,1.41472,3.90383,0.0201294,7.88383,0.0304029,0.727057,0.00392082,0.623746,0.618574,2.01602,0.00948619,0.333719,0.0290153,0.529475,0.00370316,0.485935,0.376509,1.6595,0.00813923,2.43499,0.103026,4.80175
1989-03-13 01:00:00,1989-03-13 01:59:00,0.00751246,29.7831,0.256347,82.6831,0.0085791,7.08062,0.0880109,3.40935,0.0201445,11.7089,0.000866458,2.27453,0.00506256,3.83297,0.00140694,3.45002,0.00464761,10.476,0.0125777,7.98353,0.00123458,32.5975
1989-03-13 02:00:00,1989-03-13 02:59:00,0.277984,30.3596,0.357984,61.6596,0.00773024,3.46508,0.0123668,1.94356,0.0276481,17.9147,0.0257617,3.70895,0.069281,6.4591,0.00455486,5.65044,0.137553,15.3837,0.309321,4.48815,0.114053,11.9578
1989-03-13 03:00:00,1989-03-13 03:59:00,27.7118,160.777,59.6918,273.105,0.0398276,2.74569,0.0534203,1.7911,16.7739,97.9543,3.58822,18.5005,6.31142,32.0359,5.47859,27.7532,13.9932,78.482,0.00272701,6.3481,0.902177,15.4591
1989-03-13 04:00:00,1989-03-13 04:59:00,0.40175,77.255,5.28825,140.455,0.452675,2.84278,1.26046,2.42647,2.41311,48.2486,0.110277,7.88756,1.13284,14.0779,0.182639,11.3599,0.196851,30.0876,4.02753,11.1073,0.00813415,17.5019
1989-03-13 05:00:00,1989-03-13 05:59:00,0.183569,44.2027,2.17006,67.5578,0.00300668,2.99362,0.713713,2.68353,1.42711,31.1329,0.681772,6.05554,2.35452,11.4653,1.24395,9.35114,0.0101796,21.2952,0.0598003,8.29827,0.164922,17.4978
1989-03-13 06:00:00,1989-03-13 06:59:00,0.0542898,62.2938,0.375632,89.6138,0.00311641,8.54827,0.00208069,3.53762,0.291639,39.9132,0.0209688,6.98948,0.738937,12.5968,0.0131417,10.4341,0.166115,28.8769,0.0821985,4.92854,0.0381077,9.87761
1989-03-13 07:00:00,1989-03-13 07:59:00,8.97491,172.513,20.6584,306.989,0.0146133,14.6517,0.0945742,5.27383,6.03278,92.789,0.727308,16.5612,2.00796,28.2231,1.1141,24.7179,0.258014,76.122,3.16328,27.7878,0.0825492,74.3205
1989-03-13 08:00:00,1989-03-13 08:59:00,1.24724,164.203,9.23073,311.933,0.0938684,7.48941,0.0386262,4.12411,0.88597,90.9812,0.00812412,16.6081,0.371303,29.3969,0.00849251,24.9102,0.988396,70.2495,0.360887,42.4096,0.014902,113.208
1989-03-13 09:00:00,1989-03-13 09:59:00,18.6652,72.3432,19.1752,114.443,0.0679795,5.55656,0.0690858,3.37193,9.21374,34.6372,2.05417,7.26897,2.90202,10.8468,2.99032,10.8669,10.1084,38.3231,0.249154,9.54523,0.0124423,33.098
1989-03-13 10:00:00,1989-03-13 10:59:00,1.05356,48.3323,0.0727905,101.502,0.0341376,10.3369,0.0495331,6.87703,0.389527,27.9627,0.261156,5.9133,0.140413,10.6684,0.294609,9.16548,1.07869,23.8973,0.0811221,7.89853,0.0182431,27.047
1989-03-13 11:00:00,1989-03-13 11:59:00,8.54594,168.793,13.5959,314.575,0.707897,11.2042,0.873624,9.54435,9.61848,96.0523,1.06221,17.9345,2.90549,31.0372,1.46214,26.9721,0.933074,77.8351,5.25286,24.6472,1.13258,60.7758
1989-03-13 12:00:00,1989-03-13 12:59:00,0.915852,47.4751,1.58685,85.8451,0.0251186,6.80076,1.58854,7.89923,0.0221945,23.3289,0.151073,4.85433,0.0489893,7.16576,0.120186,7.24991,0.147856,26.5841,0.0433518,10.4528,0.0997324,37.3872
1989-03-13 13:00:00,1989-03-13 13:59:00,24.3256,66.9748,41.0178,133.605,0.0665813,11.321,0.0138977,4.67325,10.564,37.8874,2.07446,7.61101,2.98778,12.8449,2.94082,11.5665,10.5342,32.6414,0.00265786,11.8749,0.376892,33.3554
1989-03-13 14:00:00,1989-03-13 14:59:00,17.4286,68.8765,24.7786,132.487,0.0356454,13.2315,0.250957,5.75722,9.20039,37.0964,1.61202,7.85255,2.90328,13.4792,2.1121,11.9213,4.20716,31.9976,0.0315569,11.9204,0.363625,36.6686
1989-03-13 15:00:00,1989-03-13 15:59:00,15.9068,90.5141,30.1368,157.927,0.0178227,8.13987,0.050661,4.06621,6.99928,55.1734,1.9242,10.8555,3.71024,18.9658,2.94843,16.4302,4.29914,43.9154,0.196758,15.1395,0.314249,53.0367
1989-03-13 16:00:00,1989-03-13 16:59:00,13.4411,94.9009,31.6679,167.391,0.102102,5.38634,0.0571442,2.78521,10.4803,58.0355,2.01691,11.3392,4.3377,19.7949,3.0569,17.0897,3.17726,45.9952,0.039868,8.33984,0.0496776,38.8947
1989-03-13 17:00:00,1989-03-13 17:59:00,42.2641,131.78,56.8941,261.131,0.0601449,14.2513,0.234152,5.37556,29.8147,77.07,5.55399,15.189,10.5736,26.8619,8.15113,23.0124,19.0302,60.373,0.188904,18.1724,1.20765,55.5519
