"Timestamp","TZ","S_4_V (V)","S_4_I (mA)","Calculation (Watts)"
2024/05/11 23:53:15.016,n,619.00676,592.93096,367.02828
2024/05/11 23:53:20.009,n,619.00676,592.9638,367.0486
2024/05/11 23:53:25.002,n,618.67656,593.01312,366.88332
2024/05/11 23:53:30.194,n,619.32104,592.99672,367.25536
2024/05/11 23:53:35.005,n,618.29552,592.84728,366.55484
2024/05/11 23:53:40.015,n,618.54408,593.21236,366.92796
2024/05/11 23:53:45.008,n,619.71844,593.21236,367.62464
2024/05/11 23:53:50.101,n,619.28816,592.8144,367.12292
2024/05/11 23:53:55.011,n,619.35436,592.88068,367.20324
2024/05/11 23:54:00.004,n,619.20552,593.04652,367.21764
2024/05/11 23:54:05.015,n,619.02368,593.17952,367.19216
2024/05/11 23:54:10.008,n,619.25476,592.68144,367.0208
2024/05/11 23:54:15.001,n,619.13924,593.27912,367.3224
2024/05/11 23:54:20.015,n,619.33748,592.86372,367.18272
2024/05/11 23:54:25.020,n,619.22192,593.12968,367.27892
2024/05/11 23:54:30.014,n,619.18904,593.03008,367.19772
2024/05/11 23:54:35.090,n,619.4864,592.914,367.30216
2024/05/11 23:54:40.034,n,618.61028,592.914,366.78268
2024/05/11 23:54:45.010,n,618.99028,593.03008,367.07988
2024/05/11 23:54:50.004,n,618.90764,592.99672,367.0102
2024/05/11 23:54:55.013,n,618.94104,592.93096,366.98932
2024/05/11 23:55:00.007,n,618.94104,593.11324,367.10212
2024/05/11 23:55:05.000,n,619.18904,592.99672,367.17708
2024/05/11 23:55:10.010,n,619.20552,593.52812,367.51588
2024/05/11 23:55:15.004,n,619.23836,592.93096,367.1656
2024/05/11 23:55:20.013,n,619.40368,593.11324,367.37648
2024/05/11 23:55:25.006,n,619.22192,593.22876,367.34024
2024/05/11 23:55:30.016,n,619.1064,593.19592,367.25136
2024/05/11 23:55:35.010,n,619.04012,592.83088,366.98608
2024/05/11 23:55:40.003,n,619.45348,592.914,367.28264
2024/05/11 23:55:45.013,n,619.37084,593.26264,367.4496
2024/05/11 23:55:50.002,n,619.04012,592.86372,367.0064
2024/05/11 23:55:55.016,n,619.18904,592.83088,367.07436
2024/05/11 23:56:00.106,n,619.1064,593.19592,367.25136
2024/05/11 23:56:05.002,n,618.61028,593.19592,366.95708
2024/05/11 23:56:10.044,n,619.02368,593.0968,367.14096
2024/05/11 23:56:15.005,n,618.92408,593.06292,367.06096
2024/05/11 23:56:20.000,n,619.28816,592.914,367.18464
2024/05/11 23:56:25.008,n,618.87476,593.03008,367.01136
2024/05/11 23:56:30.073,n,619.0894,593.17952,367.23116
2024/05/11 23:56:35.011,n,618.90764,592.914,366.959
2024/05/11 23:56:40.004,n,618.57696,593.01312,366.82424
2024/05/11 23:56:45.014,n,619.18904,592.83088,367.07436
2024/05/11 23:56:50.000,n,618.693,593.21236,367.01632
2024/05/11 23:56:55.001,n,619.17212,592.9474,367.13652
2024/05/11 23:57:00.145,n,618.87476,593.0968,367.0526
2024/05/11 23:57:05.000,n,618.94104,593.22876,367.1736
2024/05/11 23:57:10.014,n,618.89124,592.98028,366.99032
2024/05/11 23:57:15.007,n,618.97388,592.9474,367.01896
2024/05/11 23:57:20.012,n,618.92408,593.01312,367.03008
2024/05/11 23:57:25.011,n,619.20552,593.17952,367.3
