"Timestamp","TZ","S_4_V (V)","S_4_I (mA)","Calculation (Watts)"
2024/05/07 23:45:05.014,n,618.78504,593.38332,367.17672
2024/05/07 23:45:10.005,n,618.18884,593.25032,366.74072
2024/05/07 23:45:15.140,n,618.35468,593.1004,366.7464
2024/05/07 23:45:20.008,n,617.47768,593.20052,366.28804
2024/05/07 23:45:25.002,n,618.60272,593.25032,366.98624
2024/05/07 23:45:30.012,n,618.537,592.951,366.76212
2024/05/07 23:45:35.005,n,617.65992,593.16768,366.37588
2024/05/07 23:45:40.000,n,618.40448,593.16768,366.81752
2024/05/07 23:45:45.124,n,618.30536,593.2832,366.8302
2024/05/07 23:45:50.001,n,618.07332,593.11736,366.59
2024/05/07 23:45:55.032,n,618.80144,593.21696,367.08352
2024/05/07 23:46:00.005,n,618.02348,592.76872,366.345
2024/05/07 23:46:05.080,n,618.537,593.21696,366.92668
2024/05/07 23:46:10.007,n,618.66896,593.06756,366.91252
2024/05/07 23:46:15.021,n,618.917,593.06756,367.0596
2024/05/07 23:46:20.010,n,618.86768,593.2334,367.13296
2024/05/07 23:46:25.004,n,618.37164,593.20052,366.8184
2024/05/07 23:46:30.014,n,618.58632,593.25032,366.97652
2024/05/07 23:46:35.013,n,618.61964,593.2832,367.01664
2024/05/07 23:46:40.008,n,618.43736,593.3664,366.95996
2024/05/07 23:46:45.011,n,618.22176,593.01776,366.61644
2024/05/07 23:46:50.004,n,618.38808,593.2668,366.86908
2024/05/07 23:46:55.014,n,618.58632,593.1004,366.8838
2024/05/07 23:47:00.008,n,618.25556,593.03468,366.64696
2024/05/07 23:47:05.000,n,618.5036,593.25032,366.92744
2024/05/07 23:47:10.160,n,618.18884,593.1338,366.66872
2024/05/07 23:47:15.003,n,618.30536,593.2334,366.79936
2024/05/07 23:47:20.013,n,617.61012,593.20052,366.36664
2024/05/07 23:47:25.006,n,618.20528,592.98488,366.58636
2024/05/07 23:47:30.118,n,618.60272,592.86836,366.74996
2024/05/07 23:47:35.010,n,617.41088,593.05108,366.1562
2024/05/07 23:47:40.003,n,618.65252,593.084,366.91292
2024/05/07 23:47:45.013,n,618.917,593.11736,367.0904
2024/05/07 23:47:50.008,n,617.95728,593.4326,366.716
2024/05/07 23:47:55.000,n,618.15596,593.21696,366.7006
2024/05/07 23:48:00.009,n,617.9408,592.80208,366.3166
