"Timestamp","TZ","S_4_V (V)","S_4_I (mA)","Calculation (Watts)"
2024/05/10 23:45:05.004,n,615.02564,592.872,364.63148
2024/05/10 23:45:10.000,n,615.19096,593.23708,364.95412
2024/05/10 23:45:15.000,n,614.95888,593.03784,364.69388
2024/05/10 23:45:20.000,n,615.24028,593.1544,364.93248
2024/05/10 23:45:25.000,n,615.14116,593.005,364.78176
2024/05/10 23:45:30.002,n,614.67748,593.25452,364.6602
2024/05/10 23:45:35.045,n,615.30652,593.03784,364.90004
2024/05/10 23:45:40.000,n,615.27364,592.9552,364.82968
2024/05/10 23:45:45.000,n,615.27364,592.9716,364.8398
2024/05/10 23:45:50.000,n,615.65468,593.22064,365.21904
2024/05/10 23:45:55.085,n,615.60484,593.25452,365.2104
2024/05/10 23:46:00.000,n,615.63768,592.9552,365.04556
2024/05/10 23:46:05.000,n,615.10828,593.13792,364.84404
2024/05/10 23:46:10.000,n,615.2238,592.9716,364.81024
2024/05/10 23:46:15.000,n,616.13476,592.78932,365.23808
2024/05/10 23:46:20.034,n,615.42256,593.30384,365.13256
2024/05/10 23:46:25.000,n,615.62128,593.005,365.06648
2024/05/10 23:46:30.112,n,615.96944,593.005,365.27296
2024/05/10 23:46:35.000,n,616.64776,593.12152,365.74708
2024/05/10 23:46:40.000,n,616.06856,593.07124,365.37252
2024/05/10 23:46:45.001,n,615.14116,593.07124,364.82256
2024/05/10 23:46:50.000,n,615.63768,592.8058,364.9536
2024/05/10 23:46:55.003,n,615.93604,592.78932,365.12028
2024/05/10 23:47:00.000,n,616.1512,593.18724,365.49304
2024/05/10 23:47:05.000,n,616.18408,592.88844,365.3284
2024/05/10 23:47:10.000,n,616.5158,593.02144,365.60708
2024/05/10 23:47:15.000,n,615.80312,593.05428,365.20464
2024/05/10 23:47:20.003,n,615.47236,593.20424,365.1008
2024/05/10 23:47:25.072,n,615.98584,593.02144,365.2928
2024/05/10 23:47:30.000,n,615.9196,593.12152,365.3152
2024/05/10 23:47:35.000,n,615.43952,592.98852,364.94856
2024/05/10 23:47:40.000,n,616.21748,593.17084,365.5222
2024/05/10 23:47:45.002,n,615.88672,593.22064,365.35672
2024/05/10 23:47:50.000,n,615.96944,593.28736,365.44688
2024/05/10 23:47:55.000,n,616.18408,592.8222,365.2876
2024/05/10 23:48:00.000,n,615.86932,592.8222,365.101
2024/05/10 23:48:05.000,n,616.44952,593.07124,365.59848
2024/05/10 23:48:10.002,n,615.98584,592.98852,365.27252
2024/05/10 23:48:15.028,n,616.05212,593.20424,365.44472
2024/05/10 23:48:20.000,n,616.466,593.1046,365.62884
2024/05/10 23:48:25.000,n,616.59844,593.20424,365.7688
2024/05/10 23:48:30.000,n,616.64776,593.28736,365.84932
2024/05/10 23:48:35.002,n,615.98584,593.20424,365.4054
2024/05/10 23:48:40.000,n,616.11836,592.9552,365.33056
2024/05/10 23:48:45.004,n,616.16768,593.03784,365.41072
2024/05/10 23:48:50.000,n,616.38332,592.8556,365.42628
2024/05/10 23:48:55.000,n,616.63136,593.05428,365.69584
2024/05/10 23:49:00.136,n,616.36688,593.13792,365.5906
2024/05/10 23:49:05.000,n,616.00232,593.25452,365.44616
2024/05/10 23:49:10.104,n,616.18408,593.05428,365.4306
2024/05/10 23:49:15.000,n,616.43312,592.9552,365.5172
2024/05/10 23:49:20.000,n,616.21748,592.9716,365.39948
2024/05/10 23:49:25.000,n,616.34944,593.12152,365.57008
2024/05/10 23:49:30.000,n,615.85292,593.27092,365.3676
2024/05/10 23:49:35.004,n,616.68116,593.07124,365.73584
2024/05/10 23:49:40.000,n,616.43312,592.52336,365.25104
2024/05/10 23:49:45.000,n,616.59844,593.1046,365.70736
2024/05/10 23:49:50.000,n,616.30012,593.28736,365.64308
2024/05/10 23:49:55.000,n,616.25032,592.98852,365.4294
2024/05/10 23:50:00.003,n,616.2668,592.93872,365.40844
2024/05/10 23:50:05.095,n,616.30012,592.7226,365.295
2024/05/10 23:50:10.168,n,616.30012,593.17084,365.57124
2024/05/10 23:50:15.000,n,615.9032,593.23708,365.3766
