"Timestamp","TZ","S_4_V (V)","S_4_I (mA)","Calculation (Watts)"
2024/05/12 23:45:05.005,n,618.81972,593.25676,367.11896
2024/05/12 23:45:10.028,n,619.1504,592.95796,367.13016
2024/05/12 23:45:15.000,n,618.91932,593.25676,367.17808
2024/05/12 23:45:20.001,n,618.3734,592.77568,366.55672
2024/05/12 23:45:25.000,n,617.81068,593.25676,366.5204
2024/05/12 23:45:30.005,n,618.93572,593.32304,367.22884
2024/05/12 23:45:35.000,n,618.4068,592.89124,366.64796
2024/05/12 23:45:40.000,n,618.57164,593.10736,366.8794
2024/05/12 23:45:45.000,n,619.01844,593.23988,367.2264
2024/05/12 23:45:50.126,n,618.32312,593.23988,366.81392
2024/05/12 23:45:55.004,n,618.55524,593.17364,366.91064
2024/05/12 23:46:00.000,n,618.38988,592.92512,366.65892
2024/05/12 23:46:05.001,n,618.67128,593.12384,366.94868
2024/05/12 23:46:10.084,n,618.58856,593.09096,366.87928
2024/05/12 23:46:15.000,n,618.04224,593.14076,366.58604
2024/05/12 23:46:20.087,n,619.01844,593.30656,367.26772
2024/05/12 23:46:25.000,n,618.60504,592.99132,366.82744
2024/05/12 23:46:30.006,n,618.58856,593.00776,366.8278
2024/05/12 23:46:35.000,n,618.81972,593.07404,367.00592
2024/05/12 23:46:40.000,n,618.48952,592.77568,366.62552
2024/05/12 23:46:45.053,n,619.10108,592.97444,367.11108
2024/05/12 23:46:50.112,n,618.32312,593.20648,366.79328
2024/05/12 23:46:55.006,n,618.7206,592.92512,366.855
2024/05/12 23:47:00.000,n,618.357,592.95796,366.65968
2024/05/12 23:47:05.076,n,618.81972,593.10736,367.02652
2024/05/12 23:47:10.002,n,618.43968,592.94152,366.6986
2024/05/12 23:47:15.000,n,618.38988,592.95796,366.6792
2024/05/12 23:47:20.134,n,618.57164,593.14076,366.90004
2024/05/12 23:47:25.000,n,618.63788,593.07404,366.89808
2024/05/12 23:47:30.000,n,618.8366,593.12384,367.04676
2024/05/12 23:47:35.002,n,618.30672,593.00776,366.66064
2024/05/12 23:47:40.000,n,618.7704,593.04064,366.956
2024/05/12 23:47:45.005,n,618.09156,592.92512,366.482
2024/05/12 23:47:50.000,n,618.68768,593.29016,367.06132
2024/05/12 23:47:55.074,n,618.15776,593.38928,366.8082
2024/05/12 23:48:00.002,n,618.47252,593.12384,366.8308
2024/05/12 23:48:05.111,n,618.60504,592.84144,366.73468
2024/05/12 23:48:10.005,n,618.53876,593.25676,366.95232
2024/05/12 23:48:15.150,n,618.19116,593.29016,366.76672
2024/05/12 23:48:20.000,n,618.32312,593.19008,366.78312
