Voltage,Time,dT
57.44961090953319,1989-03-13 12:07:08.352155,428.35215492443126
17.505192626528924,1989-03-13 12:03:42.605862,222.60586208090797
28.03391159873064,1989-03-13 12:17:28.732198,1048.7321982312346
13.275163440010715,1989-03-13 12:27:57.750445,1677.7504446726898
41.1402762032842,1989-03-13 12:40:22.991788,2422.991787834914
45.02128708133165,1989-03-13 12:52:34.097890,3154.097889504071
22.253295864683366,1989-03-13 13:04:29.498167,3869.4981672920417
22.151498858046068,1989-03-13 13:15:07.154617,4507.15461686815
66.02055530765665,1989-03-13 13:26:10.725676,5170.7256758482135
68.56911608096931,1989-03-13 13:38:21.046486,5901.046486323311
59.12562591166892,1989-03-13 13:50:24.299676,6624.299676051875
51.01458584710326,1989-03-13 14:02:28.338157,7348.338156974501
28.246594630455036,1989-03-13 14:14:23.738435,8063.738434762471
22.8004547753589,1989-03-13 14:26:29.347498,8789.347498073214
-2.559724503160794,1989-03-13 14:30:47.708301,9047.708300918706
29.31728100383674,1989-03-13 14:41:44.211739,9704.211739152235
6.578374646227644,1989-03-13 14:50:37.424460,10237.424459918462
15.78918594321425,1989-03-13 15:02:51.671726,10971.671726363858
34.32714797334427,1989-03-13 15:15:11.416031,11711.416031167666
31.545908327717825,1989-03-13 15:27:18.595677,12438.595676866527
10.144299551350116,1989-03-13 15:35:42.229096,12942.229095989855
-19.261704806439383,1989-03-13 15:45:01.879954,13501.87995362274
0.6087073284254529,1989-03-13 15:57:22.409550,14242.409549620612
-11.499683050344515,1989-03-13 16:09:24.092157,14964.092156961056
-24.416268949667113,1989-03-13 16:22:19.959857,15739.959856691594
23.453046300051653,1989-03-13 16:33:07.668034,16387.668033551658
53.44135377318912,1989-03-13 16:46:28.822110,17188.8221097309
67.99650791863445,1989-03-13 16:57:15.116762,17835.11676244166
45.243059131505845,1989-03-13 17:07:39.423262,18459.42326171876
68.85305701733984,1989-03-13 17:19:07.495406,19147.49540595347
57.08968577892273,1989-03-13 17:22:57.428668,19377.42866757402
62.33223162074415,1989-03-13 17:32:07.132503,19927.13250341549
16.999843200722296,1989-03-13 17:34:42.620160,20082.620159839218
-25.696729868869284,1989-03-13 17:40:21.865956,20421.865955672813
-1.828967419800108,1989-03-13 17:52:44.751425,21164.75142525286
24.703695238738646,1989-03-13 18:05:09.207477,21909.20747722102
40.57675705939914,1989-03-13 18:17:27.381200,22647.381199636715
39.12796751850743,1989-03-13 18:29:35.346137,23375.346136529635
9.697725778185259,1989-03-13 18:41:26.819958,24086.819958347314
13.578736656232707,1989-03-13 18:53:37.926060,24817.926060016467
13.462397220075786,1989-03-13 19:05:46.676288,25546.67628810345
13.346057783918809,1989-03-13 19:17:55.426516,26275.426516190422
9.23236803355752,1989-03-13 19:30:01.820871,27001.820870695232
-0.7528276353485808,1989-03-13 19:42:59.416211,27779.416211052696
40.703276196219804,1989-03-13 19:55:32.667524,28532.66752439433
36.864801924517224,1989-03-13 20:06:44.562670,29204.562670031413
51.40541364044293,1989-03-13 20:19:01.951101,29941.951101253042
11.33011349176212,1989-03-13 20:29:16.048815,30556.048815007376
9.939493668948842,1989-03-13 20:35:19.638638,30919.638637856795
32.48934844280285,1989-03-13 20:46:10.645038,31570.645037731916
17.716057854563303,1989-03-13 20:58:10.757063,32290.757062684235
6.940117580528124,1989-03-13 21:10:13.224961,33013.22496121875
-22.461039300754805,1989-03-13 21:19:02.511226,33542.51122601468
-74.04546054508472,1989-03-13 21:25:06.886340,33906.88634005817
-96.32082696175604,1989-03-13 21:31:58.902453,34318.90245320792
-27.92172158537045,1989-03-13 21:32:39.214068,34359.2140678363
-156.79794385733095,1989-03-13 21:38:58.771478,34738.77147829827
-115.9700729810101,1989-03-13 21:42:55.405891,34975.40589144144
-174.67058973693867,1989-03-13 21:49:56.321971,35396.32197145721
161.02442955561582,1989-03-13 22:01:50.413431,36110.413430588414
123.70128419352221,1989-03-13 22:02:59.519056,36179.51905566562
81.06288084200912,1989-03-13 22:02:34.389737,36154.389737455735
38.42447749049603,1989-03-13 22:02:09.260419,36129.26041924583
0.041189016422549685,1989-03-13 22:02:41.300300,36161.30029996347
-30.819300667153925,1989-03-13 21:56:55.143942,35815.14394162213
-73.4577040186669,1989-03-13 21:56:30.014623,35790.014623412244
-116.09610737018005,1989-03-13 21:56:04.885305,35764.885305202355
-196.04311365426707,1989-03-13 21:55:17.767834,35717.76783355879
-7.8931605294798715,1989-03-13 22:14:51.516405,36891.51640494601
54.26845445211734,1989-03-13 22:17:29.621699,37049.621698683266
154.58334514755262,1989-03-13 22:25:03.520009,37503.52000884951
107.55191621198901,1989-03-13 22:19:32.127125,37172.12712495651
160.73358096522344,1989-03-13 22:32:12.289001,37932.28900080587
102.09608140387985,1989-03-13 22:32:38.465374,37958.465373941166
71.35762694135559,1989-03-13 22:41:57.330940,38517.33094038
25.193775113549748,1989-03-13 22:47:52.753735,38872.75373481122
123.2504688784141,1989-03-13 22:50:03.426190,39003.42618950268
61.921407986814984,1989-03-13 22:53:15.037241,39195.037240853126
-18.945406964387786,1989-03-13 22:55:44.766095,39344.76609518709
-76.20622319787427,1989-03-13 23:00:51.134366,39651.13436636274
-82.19406855257608,1989-03-13 23:13:51.085580,40431.08558030238
-38.081789969249996,1989-03-13 23:27:20.563743,41240.56374313866
-58.413560680624585,1989-03-13 23:35:20.533721,41720.53372094765
-104.60031683492394,1989-03-13 23:34:22.945700,41662.945700049975
-178.9223113808236,1989-03-13 23:39:55.699755,41995.69975534602
-218.40937025543593,1989-03-13 23:44:23.955227,42263.955227236656
