Voltage,Time,dT
-9.431023880282485,1989-03-13 01:00:30.138558,30.1385575189558
-5.043315628378341,1989-03-13 01:02:02.593706,122.59370589266129
-7.764908989069475,1989-03-13 01:03:21.394003,201.39400333957545
-12.414974571998162,1989-03-13 01:04:40.497439,280.4974385518663
-13.457692435529143,1989-03-13 01:06:00.717677,360.7176774253748
-11.809634074449267,1989-03-13 01:07:20.684335,440.68433529342553
-11.7927099734211,1989-03-13 01:08:40.804713,520.8047126205356
-11.597194530051539,1989-03-13 01:10:00.908259,600.9082593499389
-11.866016576769624,1989-03-13 01:11:21.055566,681.0555656333827
-12.12293253399833,1989-03-13 01:12:41.201750,761.201749876978
-9.94108449414242,1989-03-13 01:14:01.118103,841.1181029585445
-12.362924390198831,1989-03-13 01:15:21.468311,921.4683114476844
-11.798320172656975,1989-03-13 01:16:41.537075,1001.5370749418253
-11.459931655414241,1989-03-13 01:18:01.627157,1081.6271571930627
-10.133337710548933,1989-03-13 01:19:21.624110,1161.6241101369853
-10.697827646254531,1989-03-13 01:20:41.799280,1241.7992804099663
-1.920006029255326,1989-03-13 01:22:01.094023,1321.0940234162003
-5.165350448330528,1989-03-13 01:23:21.521840,1401.5218396614362
-6.069163934484823,1989-03-13 01:24:41.728988,1481.7289880700623
-2.190698142385404,1989-03-13 01:26:01.485450,1561.4854504734064
-1.4475025825021,1989-03-13 01:27:21.537383,1641.5373833698404
10.108884487891226,1989-03-13 01:28:15.076917,1695.076917227427
25.57293116492613,1989-03-13 01:28:42.754835,1722.754835157523
42.019230224838864,1989-03-13 01:29:10.340185,1750.3401848002288
54.03596531030773,1989-03-13 01:29:34.701072,1774.701072432126
72.13325596509833,1989-03-13 01:30:21.554340,1821.554339672645
63.243938564458375,1989-03-13 01:31:55.867711,1915.8677107043595
51.13003794500183,1989-03-13 01:33:06.205584,1986.2055836239088
37.22874343288824,1989-03-13 01:34:27.637626,2067.6376255323626
27.911293374204558,1989-03-13 01:35:48.637682,2148.637682099655
22.52285284703225,1989-03-13 01:37:09.267466,2229.267465517382
20.706239166688444,1989-03-13 01:38:29.560637,2309.5606369809575
22.163800095937443,1989-03-13 01:39:49.545247,2389.545247486561
22.549812971137893,1989-03-13 01:41:09.630842,2469.630841578409
21.090381975476927,1989-03-13 01:42:29.890352,2549.8903518465695
16.118654580434605,1989-03-13 01:43:50.480864,2630.480863869645
14.152279748266988,1989-03-13 01:46:30.910121,2790.910121218193
12.990500989841745,1989-03-13 01:47:51.141580,2871.1415804901726
13.257452970147906,1989-03-13 01:49:11.238395,2951.2383949804926
16.619988217705437,1989-03-13 01:50:31.043479,3031.04347911055
17.18459243524732,1989-03-13 01:51:51.112243,3111.11224260469
13.582065331489243,1989-03-13 01:53:11.573720,3191.573720045341
11.408268966462611,1989-03-13 01:54:31.900553,3271.9005527043328
11.972873184004467,1989-03-13 01:55:51.969316,3351.969316198472
14.382921272407739,1989-03-13 01:57:11.864164,3431.864163516303
13.39973385632393,1989-03-13 01:58:32.078792,3512.0787921905758
12.999851321901499,1989-03-13 01:59:47.603294,3587.6032943036735
