Time,V(v),E.Y,E.Y.00,E.Y.01,E.Y.02,E.Y.03,E.Y.04,E.Y.05,E.Y.06,E.Y.07,E.Y.08,E.Y.09,E.Y.10,E.Y.11,E.Y.12,E.Y.13,E.Y.14,E.Y.15,E.Y.16,E.Y.17,E.Y.18,E.Y.19,E.Y.20,E.Y.21,E.Y.22,E.X,E.X.00,E.X.01,E.X.02,E.X.03,E.X.04,E.X.05,E.X.06,E.X.07,E.X.08,E.X.09,E.X.10,E.X.11,E.X.12,E.X.13,E.X.14,E.X.15,E.X.16,E.X.17,E.X.18,E.X.19,E.X.20,E.X.21,E.X.22,V(v).00,V(v).01,V(v).02,V(v).03,V(v).04,V(v).05,V(v).06,V(v).07,V(v).08,V(v).09,V(v).10,V(v).11,V(v).12,V(v).13,V(v).14,V(v).15,V(v).16,V(v).17,V(v).18,V(v).19,V(v).20,V(v).21,V(v).22,Vt(v),U0,U1
2024-05-10 00:10:00,99.7661,-85.2312,-15.6817,-15.6817,-15.6817,-15.6817,-15.6817,-0.215129,-0.215129,-0.215129,-0.215129,-0.215129,-0.215129,-0.215129,-1.10891,-1.10891,-1.10891,-1.10891,-1.10891,-1.10891,-1.10891,0.88685,-0.215129,0.88685,0.88685,212.523,1.24827,1.24827,1.24827,1.24827,1.24827,18.2415,18.2415,18.2415,18.2415,18.2415,18.2415,18.2415,14.3216,14.3216,14.3216,14.3216,14.3216,14.3216,14.3216,-13.3007,18.2415,-13.3007,-13.3007,-1.23376,-3.82141,-2.85916,-1.65559,-1.98978,10.3967,7.09553,3.57318,3.5786,3.56451,3.5845,5.42161,6.95383,6.0443,2.54104,4.9099,4.4205,10.5679,11.6196,-53.4213,81.3437,-0.306787,-0.561547,83.7061,3.87,19.93
2024-05-10 00:11:00,101.597,-84.479,-15.5822,-15.5822,-15.5822,-15.5822,-15.5822,-0.341372,-0.341372,-0.341372,-0.341372,-0.341372,-0.341372,-0.341372,-0.912797,-0.912797,-0.912797,-0.912797,-0.912797,-0.912797,-0.912797,0.850761,-0.341372,0.850761,0.850761,211.202,1.64025,1.64025,1.64025,1.64025,1.64025,17.9684,17.9684,17.9684,17.9684,17.9684,17.9684,17.9684,13.6106,13.6106,13.6106,13.6106,13.6106,13.6106,13.6106,-12.0069,17.9684,-12.0069,-12.0069,-1.21559,-3.71744,-2.70325,-1.50315,-1.6822,10.2037,6.98294,3.51328,3.51216,3.4821,3.50818,5.32746,6.62978,5.78637,2.44977,4.70767,4.20786,10.0631,11.0994,-48.1241,79.8216,-0.261148,-0.491798,85.1667,3.37,19.8
2024-05-10 00:12:00,101.959,-82.6243,-15.435,-15.435,-15.435,-15.435,-15.435,-0.344393,-0.344393,-0.344393,-0.344393,-0.344393,-0.344393,-0.344393,-0.731155,-0.731155,-0.731155,-0.731155,-0.731155,-0.731155,-0.731155,0.808007,-0.344393,0.808007,0.808007,208.182,1.83198,1.83198,1.83198,1.83198,1.83198,17.6377,17.6377,17.6377,17.6377,17.6377,17.6377,17.6377,13.0275,13.0275,13.0275,13.0275,13.0275,13.0275,13.0275,-11.0907,17.6377,-11.0907,-11.0907,-1.19876,-3.64103,-2.60633,-1.41542,-1.51348,10.0132,6.85396,3.44815,3.44659,3.41592,3.44198,5.22848,6.36718,5.58109,2.38009,4.54797,4.0345,9.65218,10.6812,-44.4077,78.3306,-0.234245,-0.447593,85.4786,3.09,19.57
2024-05-10 00:13:00,98.0084,-81.5039,-15.013,-15.013,-15.013,-15.013,-15.013,-0.340049,-0.340049,-0.340049,-0.340049,-0.340049,-0.340049,-0.340049,-0.863055,-0.863055,-0.863055,-0.863055,-0.863055,-0.863055,-0.863055,0.774245,-0.340049,0.774245,0.774245,204.214,1.65413,1.65413,1.65413,1.65413,1.65413,17.4097,17.4097,17.4097,17.4097,17.4097,17.4097,17.4097,13.0992,13.0992,13.0992,13.0992,13.0992,13.0992,13.0992,-11.6762,17.4097,-11.6762,-11.6762,-1.16928,-3.56694,-2.57908,-1.42206,-1.56632,9.88377,6.76537,3.40358,3.40204,3.37175,3.39748,5.16089,6.38298,5.57356,2.36154,4.53532,4.05049,9.68718,10.6885,-46.9055,77.318,-0.27067,-0.494258,81.9884,3.14,19.16
2024-05-10 00:14:00,93.115,-80.1821,-14.7016,-14.7016,-14.7016,-14.7016,-14.7016,-0.214456,-0.214456,-0.214456,-0.214456,-0.214456,-0.214456,-0.214456,-1.06376,-1.06376,-1.06376,-1.06376,-1.06376,-1.06376,-1.06376,0.82924,-0.214456,0.82924,0.82924,199.087,1.13555,1.13555,1.13555,1.13555,1.13555,17.0953,17.0953,17.0953,17.0953,17.0953,17.0953,17.0953,13.477,13.477,13.477,13.477,13.477,13.477,13.477,-12.5642,17.0953,-12.5642,-12.5642,-1.15754,-3.58949,-2.69241,-1.56443,-1.89101,9.73976,6.64906,3.34803,3.35247,3.33765,3.35702,5.07966,6.5407,5.68179,2.38618,4.61438,4.15883,9.94176,10.9262,-50.4805,76.2024,-0.292479,-0.533018,78.135,3.68,18.66
2024-05-10 00:15:00,92.1313,-78.9624,-14.4855,-14.4855,-14.4855,-14.4855,-14.4855,-0.234042,-0.234042,-0.234042,-0.234042,-0.234042,-0.234042,-0.234042,-1.01714,-1.01714,-1.01714,-1.01714,-1.01714,-1.01714,-1.01714,0.819182,-0.234042,0.819182,0.819182,196.36,1.18381,1.18381,1.18381,1.18381,1.18381,16.8484,16.8484,16.8484,16.8484,16.8484,16.8484,16.8484,13.2029,13.2029,13.2029,13.2029,13.2029,13.2029,13.2029,-12.2552,16.8484,-12.2552,-12.2552,-1.13885,-3.5238,-2.63048,-1.51839,-1.81532,9.59251,6.55189,3.29854,3.30178,3.28435,3.30456,5.004,6.41139,5.57367,2.34381,4.52787,4.07543,9.74305,10.714,-49.2181,75.0483,-0.28203,-0.516792,77.2713,3.55,18.41
2024-05-10 00:16:00,95.5802,-77.4211,-14.2524,-14.2524,-14.2524,-14.2524,-14.2524,-0.329924,-0.329924,-0.329924,-0.329924,-0.329924,-0.329924,-0.329924,-0.841298,-0.841298,-0.841298,-0.841298,-0.841298,-0.841298,-0.841298,0.789862,-0.329924,0.789862,0.789862,197.248,1.70547,1.70547,1.70547,1.70547,1.70547,16.6882,16.6882,16.6882,16.6882,16.6882,16.6882,16.6882,12.5639,12.5639,12.5639,12.5639,12.5639,12.5639,12.5639,-10.9108,16.6882,-10.9108,-10.9108,-1.10655,-3.3593,-2.40187,-1.30206,-1.3873,9.47301,6.4848,3.26233,3.26065,3.23112,3.25598,4.94661,6.12013,5.34178,2.2617,4.34603,3.88433,9.28944,10.2463,-43.6975,74.1044,-0.232032,-0.441852,79.9302,2.79,18.44
2024-05-10 00:17:00,96.0938,-75.9239,-14.0195,-14.0195,-14.0195,-14.0195,-14.0195,-0.341195,-0.341195,-0.341195,-0.341195,-0.341195,-0.341195,-0.341195,-0.789201,-0.789201,-0.789201,-0.789201,-0.789201,-0.789201,-0.789201,0.809169,-0.341195,0.809169,0.809169,196.046,1.87991,1.87991,1.87991,1.87991,1.87991,16.5046,16.5046,16.5046,16.5046,16.5046,16.5046,16.5046,12.2595,12.2595,12.2595,12.2595,12.2595,12.2595,12.2595,-10.4026,16.5046,-10.4026,-10.4026,-1.08324,-3.26406,-2.29291,-1.20897,-1.2154,9.3645,6.41273,3.22571,3.2233,3.19223,3.21756,4.8907,5.97663,5.22184,2.21476,4.25007,3.79176,9.06887,10.0108,-41.5493,73.2542,-0.20356,-0.404358,80.2538,2.48,18.32
2024-05-10 00:18:00,90.8932,-75.084,-13.7758,-13.7758,-13.7758,-13.7758,-13.7758,-0.269409,-0.269409,-0.269409,-0.269409,-0.269409,-0.269409,-0.269409,-0.909683,-0.909683,-0.909683,-0.909683,-0.909683,-0.909683,-0.909683,0.772717,-0.269409,0.772717,0.772717,190.217,1.40815,1.40815,1.40815,1.40815,1.40815,16.1966,16.1966,16.1966,16.1966,16.1966,16.1966,16.1966,12.4345,12.4345,12.4345,12.4345,12.4345,12.4345,12.4345,-11.1458,16.1966,-11.1458,-11.1458,-1.07576,-3.29486,-2.40433,-1.34379,-1.51813,9.2086,6.29625,3.16874,3.16964,3.14733,3.16895,4.80598,6.0455,5.26371,2.21934,4.27856,3.84058,9.18283,10.1098,-44.707,72.0407,-0.247781,-0.461662,76.0732,2.99,17.81
2024-05-10 00:19:00,85.4914,-74.7812,-13.6757,-13.6757,-13.6757,-13.6757,-13.6757,-0.196069,-0.196069,-0.196069,-0.196069,-0.196069,-0.196069,-0.196069,-1.02706,-1.02706,-1.02706,-1.02706,-1.02706,-1.02706,-1.02706,0.785059,-0.196069,0.785059,0.785059,184.128,0.940015,0.940015,0.940015,0.940015,0.940015,15.847,15.847,15.847,15.847,15.847,15.847,15.847,12.6131,12.6131,12.6131,12.6131,12.6131,12.6131,12.6131,-11.8798,15.847,-11.8798,-11.8798,-1.07977,-3.3622,-2.5446,-1.49653,-1.84483,9.02932,6.16365,3.10368,3.10793,3.09454,3.11236,4.709,6.11667,5.30815,2.22542,4.3093,3.8907,9.29999,10.2131,-47.7288,70.6442,-0.276236,-0.503686,71.8114,3.58,17.26
