"Timestamp","TZ","V_(S2)_OXF (1S) (V)","I_(S2)_OXF (1S) (mA)","Calculation (watts)"
2024/05/11 23:45:05.007,n,-208.94056,-600.70788,125.51224
2024/05/11 23:45:10.000,n,-209.26722,-600.72692,125.71246
2024/05/11 23:45:15.000,n,-208.97718,-600.65028,125.5222
2024/05/11 23:45:20.003,n,-209.19494,-600.72692,125.66904
2024/05/11 23:45:25.000,n,-209.41272,-600.72692,125.79986
2024/05/11 23:45:30.007,n,-209.14074,-600.66932,125.62444
2024/05/11 23:45:35.000,n,-209.3219,-600.68836,125.73724
2024/05/11 23:45:40.000,n,-209.4303,-600.68836,125.80236
2024/05/11 23:45:45.003,n,-209.0675,-600.65028,125.57646
2024/05/11 23:45:50.000,n,-209.1217,-600.68836,125.61698
2024/05/11 23:45:55.041,n,-208.72326,-600.63172,125.36582
2024/05/11 23:46:00.000,n,-209.21302,-600.66932,125.66784
2024/05/11 23:46:05.057,n,-209.59388,-600.65028,125.89262
2024/05/11 23:46:10.002,n,-209.1217,-600.68836,125.61698
2024/05/11 23:46:15.029,n,-208.84974,-600.6122,125.4377
2024/05/11 23:46:20.005,n,-209.50354,-600.65028,125.83836
2024/05/11 23:46:25.000,n,-209.44886,-600.66932,125.8095
2024/05/11 23:46:30.018,n,-209.64808,-600.74548,125.94514
2024/05/11 23:46:35.002,n,-209.39466,-600.68836,125.78094
2024/05/11 23:46:40.000,n,-209.6847,-600.59312,125.9352
2024/05/11 23:46:45.005,n,-209.3761,-600.66932,125.7658
2024/05/11 23:46:50.065,n,-209.53918,-600.59312,125.8478
2024/05/11 23:46:55.008,n,-209.53918,-600.65028,125.85976
2024/05/11 23:47:00.001,n,-209.0675,-600.66932,125.58044
2024/05/11 23:47:05.000,n,-209.84778,-600.65028,126.04514
2024/05/11 23:47:10.005,n,-209.8302,-600.66932,126.03856
2024/05/11 23:47:15.000,n,-209.19494,-600.70788,125.66506
2024/05/11 23:47:20.088,n,-209.95666,-600.70788,126.12264
2024/05/11 23:47:25.001,n,-209.72132,-600.72692,125.98524
2024/05/11 23:47:30.000,n,-209.55774,-600.72692,125.88698
2024/05/11 23:47:35.004,n,-209.4303,-600.74548,125.81432
2024/05/11 23:47:40.000,n,-209.0133,-600.66932,125.54788
2024/05/11 23:47:45.008,n,-209.28528,-600.70788,125.71932
2024/05/11 23:47:50.002,n,-209.7389,-600.72692,125.9958
2024/05/11 23:47:55.019,n,-209.5216,-600.65028,125.84922
2024/05/11 23:48:00.087,n,-209.34046,-600.65028,125.7404
2024/05/11 23:48:05.000,n,-209.63,-600.68836,125.9223
2024/05/11 23:48:10.007,n,-209.35804,-600.70788,125.76302
2024/05/11 23:48:15.166,n,-209.55774,-600.68836,125.8789
2024/05/11 23:48:20.000,n,-209.50354,-600.68836,125.84634
2024/05/11 23:48:25.004,n,-209.48498,-600.74548,125.84716
2024/05/11 23:48:30.000,n,-209.44886,-600.70788,125.81758
2024/05/11 23:48:35.007,n,-209.35804,-600.65028,125.75096
