"Timestamp","TZ","V_(S2)_OXF (1S) (V)","I_(S2)_OXF (1S) (mA)","Calculation (watts)"
2024/10/09 23:45:05.015,n,-207.57078,-600.30524,124.60584
2024/10/09 23:45:10.008,n,-207.67968,-600.32428,124.67516
2024/10/09 23:45:15.001,n,-207.86132,-600.3438,124.78826
2024/10/09 23:45:20.011,n,-207.73388,-600.36284,124.71572
2024/10/09 23:45:25.005,n,-207.49852,-600.3438,124.57046
2024/10/09 23:45:30.014,n,-207.37156,-600.30524,124.48624
2024/10/09 23:45:35.007,n,-207.44384,-600.32428,124.53358
2024/10/09 23:45:40.050,n,-207.64354,-600.28668,124.64566
2024/10/09 23:45:45.011,n,-207.62498,-600.32428,124.64232
2024/10/09 23:45:50.004,n,-207.7158,-600.30524,124.6929
2024/10/09 23:45:55.013,n,-207.8247,-600.24812,124.74638
2024/10/09 23:46:00.007,n,-207.9702,-600.3814,124.86144
2024/10/09 23:46:05.000,n,-207.49852,-600.32428,124.5664
2024/10/09 23:46:10.011,n,-207.29882,-600.3438,124.45056
2024/10/09 23:46:15.000,n,-207.7158,-600.30524,124.6929
2024/10/09 23:46:20.013,n,-207.4619,-600.26716,124.53256
2024/10/09 23:46:25.000,n,-207.53514,-600.3814,124.60024
2024/10/09 23:46:30.000,n,-207.4619,-600.30524,124.54046
2024/10/09 23:46:35.000,n,-207.57078,-600.30524,124.60584
2024/10/09 23:46:40.085,n,-207.24462,-600.22908,124.39424
2024/10/09 23:46:45.000,n,-207.73388,-600.28668,124.69988
2024/10/09 23:46:50.000,n,-207.24462,-600.32428,124.41398
2024/10/09 23:46:55.016,n,-207.48046,-600.24812,124.53976
2024/10/09 23:47:00.000,n,-207.7705,-600.30524,124.72572
2024/10/09 23:47:05.000,n,-207.86132,-600.32428,124.7842
2024/10/09 23:47:10.041,n,-207.78856,-600.30524,124.73656
2024/10/09 23:47:15.000,n,-207.89696,-600.19096,124.77788
2024/10/09 23:47:20.131,n,-207.89696,-600.20952,124.78174
2024/10/09 23:47:25.009,n,-207.64354,-600.26716,124.6416
2024/10/09 23:47:30.000,n,-207.53514,-600.26716,124.57654
2024/10/09 23:47:35.011,n,-207.6074,-600.28668,124.62396
2024/10/09 23:47:40.005,n,-207.62498,-600.30524,124.63838
2024/10/09 23:47:45.074,n,-207.58934,-600.28668,124.61312
2024/10/09 23:47:50.008,n,-208.04246,-600.28668,124.88512
2024/10/09 23:47:55.000,n,-207.95164,-600.30524,124.83446
2024/10/09 23:48:00.000,n,-207.80712,-600.36284,124.75968
2024/10/09 23:48:05.000,n,-207.75242,-600.30524,124.71488
2024/10/09 23:48:10.000,n,-207.80712,-600.26716,124.73978
2024/10/09 23:48:15.000,n,-207.84276,-600.28668,124.76524
2024/10/09 23:48:20.000,n,-207.86132,-600.26716,124.77232
2024/10/09 23:48:25.000,n,-207.51658,-600.32428,124.57724
2024/10/09 23:48:30.037,n,-207.93358,-600.22908,124.8078
2024/10/09 23:48:35.000,n,-207.84276,-600.26716,124.76118
2024/10/09 23:48:40.000,n,-207.67968,-600.26716,124.66328
2024/10/09 23:48:45.000,n,-208.00584,-600.26716,124.85908
2024/10/09 23:48:50.000,n,-207.86132,-600.30524,124.78024
2024/10/09 23:48:55.054,n,-207.86132,-600.24812,124.76836
2024/10/09 23:49:00.000,n,-207.49852,-600.28668,124.5586
2024/10/09 23:49:05.000,n,-207.6616,-600.22908,124.64454
2024/10/09 23:49:10.000,n,-207.73388,-600.26716,124.69582
2024/10/09 23:49:15.000,n,-208.11474,-600.24812,124.92048
2024/10/09 23:49:20.000,n,-207.91552,-600.26716,124.80486
2024/10/09 23:49:25.000,n,-207.84276,-600.28668,124.76524
2024/10/09 23:49:30.000,n,-207.69822,-600.30524,124.68234
2024/10/09 23:49:35.000,n,-207.98778,-600.30524,124.85616
2024/10/09 23:49:40.000,n,-207.73388,-600.28668,124.69988
2024/10/09 23:49:45.000,n,-207.89696,-600.30524,124.80164
2024/10/09 23:49:50.016,n,-207.29882,-600.26716,124.43466
2024/10/09 23:49:55.005,n,-207.7158,-600.3438,124.7009
2024/10/09 23:50:00.001,n,-207.58934,-600.20952,124.5971
2024/10/09 23:50:05.000,n,-207.86132,-600.20952,124.76036
2024/10/09 23:50:10.000,n,-207.51658,-600.28668,124.56944
2024/10/09 23:50:15.000,n,-207.78856,-600.30524,124.73656
2024/10/09 23:50:20.000,n,-208.2241,-600.24812,124.98612
2024/10/09 23:50:25.000,n,-207.89696,-600.22908,124.7858
2024/10/09 23:50:30.000,n,-207.9702,-600.26716,124.83768
2024/10/09 23:50:35.004,n,-207.78856,-600.26716,124.72866
2024/10/09 23:50:40.000,n,-207.31736,-600.26716,124.44582
2024/10/09 23:50:45.000,n,-207.62498,-600.28668,124.63452
2024/10/09 23:50:50.000,n,-208.0244,-600.24812,124.86626
2024/10/09 23:50:55.000,n,-207.55272,-600.28668,124.59114
2024/10/09 23:51:00.001,n,-207.53514,-600.26716,124.57654
2024/10/09 23:51:05.060,n,-207.7158,-600.32428,124.69686
2024/10/09 23:51:10.000,n,-207.64354,-600.24812,124.63764
2024/10/09 23:51:15.000,n,-208.09666,-600.24812,124.90964
2024/10/09 23:51:20.000,n,-207.64354,-600.26716,124.6416
2024/10/09 23:51:25.061,n,-207.87938,-600.30524,124.79108
2024/10/09 23:51:30.000,n,-208.13328,-600.22908,124.92766
2024/10/09 23:51:35.000,n,-207.55272,-600.20952,124.57512
2024/10/09 23:51:40.000,n,-207.57078,-600.26716,124.59792
2024/10/09 23:51:45.000,n,-207.7158,-600.30524,124.6929
2024/10/09 23:51:50.000,n,-207.84276,-600.28668,124.76524
2024/10/09 23:51:55.000,n,-207.75242,-600.26716,124.70696
2024/10/09 23:52:00.000,n,-207.7158,-600.28668,124.68904
2024/10/09 23:52:05.000,n,-207.7158,-600.26716,124.68498
2024/10/09 23:52:10.000,n,-207.51658,-600.26716,124.5654
2024/10/09 23:52:15.000,n,-207.67968,-600.22908,124.65538
2024/10/09 23:52:20.000,n,-207.7705,-600.22908,124.7099
