"Timestamp","TZ","V_(S2)_OXF (1S) (V)","I_(S2)_OXF (1S) (mA)","Calculation (watts)"
2024/05/07 23:45:05.004,n,-209.77806,-600.7362,126.02128
2024/05/07 23:45:10.000,n,-209.85032,-600.69764,126.0566
2024/05/07 23:45:15.000,n,-209.57836,-600.69764,125.89322
2024/05/07 23:45:20.000,n,-209.77806,-600.65956,126.0052
2024/05/07 23:45:25.000,n,-209.97728,-600.69764,126.13286
2024/05/07 23:45:30.004,n,-210.10472,-600.71668,126.21342
2024/05/07 23:45:35.000,n,-209.9226,-600.69764,126.10002
2024/05/07 23:45:40.000,n,-210.01342,-600.69764,126.15456
2024/05/07 23:45:45.000,n,-209.74144,-600.67812,125.98708
2024/05/07 23:45:50.143,n,-210.0681,-600.65956,126.17942
2024/05/07 23:45:55.004,n,-209.85032,-600.71668,126.0606
2024/05/07 23:46:00.000,n,-210.14036,-600.71668,126.23482
2024/05/07 23:46:05.000,n,-210.10472,-600.64052,126.1974
2024/05/07 23:46:10.000,n,-209.7595,-600.69764,126.00204
2024/05/07 23:46:15.000,n,-210.15892,-600.71668,126.24598
2024/05/07 23:46:20.004,n,-210.10472,-600.7362,126.21752
2024/05/07 23:46:25.000,n,-209.85032,-600.65956,126.0486
2024/05/07 23:46:30.006,n,-209.68724,-600.7362,125.96672
2024/05/07 23:46:35.000,n,-209.8137,-600.65956,126.0266
2024/05/07 23:46:40.000,n,-209.90502,-600.67812,126.08534
2024/05/07 23:46:45.003,n,-210.10472,-600.69764,126.2094
2024/05/07 23:46:50.000,n,-210.21312,-600.75524,126.28664
2024/05/07 23:46:55.006,n,-209.85032,-600.71668,126.0606
2024/05/07 23:47:00.000,n,-209.8684,-600.65956,126.05946
2024/05/07 23:47:05.000,n,-209.85032,-600.69764,126.0566
2024/05/07 23:47:10.003,n,-210.21312,-600.58336,126.25052
2024/05/07 23:47:15.058,n,-209.77806,-600.65956,126.0052
2024/05/07 23:47:20.005,n,-209.99584,-600.71668,126.148
2024/05/07 23:47:25.065,n,-209.97728,-600.69764,126.13286
2024/05/07 23:47:30.000,n,-209.74144,-600.71668,125.99518
2024/05/07 23:47:35.002,n,-210.1223,-600.69764,126.21998
2024/05/07 23:47:40.000,n,-209.72288,-600.7362,125.98814
2024/05/07 23:47:45.005,n,-209.79612,-600.7362,126.03214
2024/05/07 23:47:50.000,n,-209.66868,-600.71668,125.95148
2024/05/07 23:47:55.000,n,-209.57836,-600.7738,125.9092
2024/05/07 23:48:00.001,n,-209.37864,-600.79284,125.7932
2024/05/07 23:48:05.000,n,-209.614,-600.7738,125.9306
2024/05/07 23:48:10.005,n,-209.614,-600.67812,125.91054
2024/05/07 23:48:15.000,n,-210.05004,-600.69764,126.17656
2024/05/07 23:48:20.000,n,-209.9226,-600.7362,126.1081
2024/05/07 23:48:25.001,n,-209.72288,-600.7362,125.98814
2024/05/07 23:48:30.077,n,-209.94114,-600.62096,126.09506
2024/05/07 23:48:35.004,n,-209.99584,-600.60192,126.12392
2024/05/07 23:48:40.098,n,-210.17698,-600.67812,126.24872
2024/05/07 23:48:45.007,n,-209.90502,-600.65956,126.08146
2024/05/07 23:48:50.100,n,-209.94114,-600.62096,126.09506
2024/05/07 23:48:55.000,n,-210.08616,-600.69764,126.19828
2024/05/07 23:49:00.004,n,-210.01342,-600.62096,126.13846
2024/05/07 23:49:05.000,n,-209.95922,-600.64052,126.11002
2024/05/07 23:49:10.007,n,-209.90502,-600.71668,126.09344
2024/05/07 23:49:15.000,n,-210.08616,-600.67812,126.19416
2024/05/07 23:49:20.000,n,-209.88694,-600.69764,126.0786
2024/05/07 23:49:25.003,n,-209.7595,-600.67812,125.99796
2024/05/07 23:49:30.000,n,-210.23118,-600.71668,126.28938
2024/05/07 23:49:35.008,n,-209.70482,-600.71668,125.97318
2024/05/07 23:49:40.000,n,-210.14036,-600.71668,126.23482
2024/05/07 23:49:45.000,n,-210.19554,-600.71668,126.26798
2024/05/07 23:49:50.094,n,-209.85032,-600.65956,126.0486
2024/05/07 23:49:55.057,n,-209.97728,-600.69764,126.13286
2024/05/07 23:50:00.056,n,-209.614,-600.67812,125.91054
2024/05/07 23:50:05.117,n,-209.90502,-600.69764,126.08946
2024/05/07 23:50:10.000,n,-210.14036,-600.71668,126.23482
2024/05/07 23:50:15.002,n,-209.88694,-600.65956,126.0706
2024/05/07 23:50:20.000,n,-209.97728,-600.67812,126.12876
2024/05/07 23:50:25.005,n,-210.30442,-600.69764,126.32938
2024/05/07 23:50:30.000,n,-210.03148,-600.7362,126.17352
2024/05/07 23:50:35.035,n,-209.83226,-600.62096,126.02966
2024/05/07 23:50:40.002,n,-209.7595,-600.64052,125.99006
2024/05/07 23:50:45.000,n,-210.14036,-600.62096,126.21472
2024/05/07 23:50:50.005,n,-209.8137,-600.69764,126.0346
2024/05/07 23:50:55.000,n,-209.77806,-600.69764,126.0132
2024/05/07 23:51:00.008,n,-209.79612,-600.69764,126.02404
2024/05/07 23:51:05.068,n,-209.63256,-600.64052,125.9138
2024/05/07 23:51:10.000,n,-209.95922,-600.7362,126.1301
2024/05/07 23:51:15.005,n,-210.14036,-600.71668,126.23482
2024/05/07 23:51:20.007,n,-209.59642,-600.65956,125.8961
2024/05/07 23:51:25.080,n,-209.37864,-600.69764,125.77326
2024/05/07 23:51:30.001,n,-209.77806,-600.7362,126.02128
2024/05/07 23:51:35.000,n,-209.7595,-600.67812,125.99796
2024/05/07 23:51:40.170,n,-209.57836,-600.67812,125.88912
2024/05/07 23:51:45.000,n,-209.8137,-600.65956,126.0266
2024/05/07 23:51:50.008,n,-210.1223,-600.69764,126.21998
2024/05/07 23:51:55.002,n,-209.77806,-600.67812,126.0091
2024/05/07 23:52:00.000,n,-209.9226,-600.71668,126.104
2024/05/07 23:52:05.121,n,-209.79612,-600.65956,126.01604
2024/05/07 23:52:10.000,n,-210.15892,-600.67812,126.23786
2024/05/07 23:52:15.007,n,-210.1223,-600.65956,126.21196
2024/05/07 23:52:20.001,n,-210.3767,-600.69764,126.37278
2024/05/07 23:52:25.000,n,-209.99584,-600.67812,126.1399
2024/05/07 23:52:30.003,n,-209.8684,-600.69764,126.06744
2024/05/07 23:52:35.000,n,-210.1223,-600.75524,126.23208
2024/05/07 23:52:40.006,n,-209.95922,-600.71668,126.126
2024/05/07 23:52:45.000,n,-210.03148,-600.7362,126.17352
2024/05/07 23:52:50.000,n,-210.21312,-600.79284,126.29454
2024/05/07 23:52:55.186,n,-210.1223,-600.69764,126.21998
2024/05/07 23:53:00.000,n,-210.24974,-600.7738,126.31254
2024/05/07 23:53:05.006,n,-210.05004,-600.7362,126.18466
2024/05/07 23:53:10.012,n,-210.19554,-600.69764,126.26396
2024/05/07 23:53:15.092,n,-209.68724,-600.67812,125.95454
2024/05/07 23:53:20.003,n,-210.03148,-600.71668,126.16942
2024/05/07 23:53:25.000,n,-210.34008,-600.69764,126.35078
2024/05/07 23:53:30.006,n,-209.9226,-600.7738,126.116
2024/05/07 23:53:35.050,n,-209.9226,-600.71668,126.104
2024/05/07 23:53:40.009,n,-210.2678,-600.67812,126.30328
2024/05/07 23:53:45.003,n,-210.10472,-600.69764,126.2094
2024/05/07 23:53:50.000,n,-209.90502,-600.69764,126.08946
2024/05/07 23:53:55.006,n,-209.83226,-600.71668,126.04974
2024/05/07 23:54:00.000,n,-210.15892,-600.69764,126.24198
2024/05/07 23:54:05.009,n,-210.0681,-600.7362,126.19552
2024/05/07 23:54:10.002,n,-210.10472,-600.7362,126.21752
2024/05/07 23:54:15.000,n,-210.10472,-600.69764,126.2094
2024/05/07 23:54:20.104,n,-209.79612,-600.71668,126.02804
2024/05/07 23:54:25.000,n,-209.77806,-600.69764,126.0132
2024/05/07 23:54:30.009,n,-209.85032,-600.67812,126.0525
2024/05/07 23:54:35.001,n,-209.70482,-600.71668,125.97318
2024/05/07 23:54:40.000,n,-209.94114,-600.65956,126.10316
2024/05/07 23:54:45.071,n,-210.55834,-600.71668,126.48592
2024/05/07 23:54:50.000,n,-209.7595,-600.67812,125.99796
2024/05/07 23:54:55.008,n,-210.30442,-600.67812,126.32526
2024/05/07 23:55:00.002,n,-209.79612,-600.71668,126.02804
2024/05/07 23:55:05.000,n,-210.2678,-600.75524,126.3195
2024/05/07 23:55:10.005,n,-210.21312,-600.71668,126.27854
2024/05/07 23:55:15.001,n,-210.17698,-600.71668,126.25682
2024/05/07 23:55:20.008,n,-210.24974,-600.7362,126.30464
2024/05/07 23:55:25.001,n,-209.9226,-600.71668,126.104
2024/05/07 23:55:30.011,n,-210.39428,-600.7738,126.39938
2024/05/07 23:55:35.006,n,-210.28588,-600.79284,126.33826
2024/05/07 23:55:40.000,n,-210.21312,-600.7738,126.29054
2024/05/07 23:55:45.007,n,-210.01342,-600.7362,126.16268
2024/05/07 23:55:50.001,n,-209.95922,-600.75524,126.1341
2024/05/07 23:55:55.023,n,-209.90502,-600.75524,126.10154
2024/05/07 23:56:00.005,n,-209.94114,-600.71668,126.11516
2024/05/07 23:56:05.000,n,-210.23118,-600.71668,126.28938
2024/05/07 23:56:10.007,n,-210.23118,-600.7362,126.2935
2024/05/07 23:56:15.000,n,-210.01342,-600.7362,126.16268
2024/05/07 23:56:20.017,n,-209.74144,-600.69764,125.9912
2024/05/07 23:56:25.135,n,-209.8137,-600.7738,126.05058
2024/05/07 23:56:30.000,n,-210.14036,-600.7362,126.23894
2024/05/07 23:56:35.007,n,-210.17698,-600.67812,126.24872
2024/05/07 23:56:40.000,n,-210.08616,-600.75524,126.21038
2024/05/07 23:56:45.009,n,-210.19554,-600.71668,126.26798
2024/05/07 23:56:50.003,n,-210.15892,-600.69764,126.24198
2024/05/07 23:56:55.000,n,-210.19554,-600.7362,126.27208
2024/05/07 23:57:00.006,n,-210.08616,-600.7362,126.20638
2024/05/07 23:57:05.000,n,-210.08616,-600.69764,126.19828
2024/05/07 23:57:10.009,n,-210.35862,-600.75524,126.37406
2024/05/07 23:57:15.002,n,-210.1223,-600.69764,126.21998
2024/05/07 23:57:20.000,n,-210.10472,-600.7362,126.21752
2024/05/07 23:57:25.026,n,-209.97728,-600.7362,126.14096
2024/05/07 23:57:30.000,n,-209.97728,-600.69764,126.13286
2024/05/07 23:57:35.009,n,-209.54174,-600.79284,125.89118
2024/05/07 23:57:40.002,n,-209.90502,-600.81236,126.11354
2024/05/07 23:57:45.012,n,-210.21312,-600.65956,126.26652
2024/05/07 23:57:50.005,n,-209.88694,-600.75524,126.0907
2024/05/07 23:57:55.000,n,-209.9226,-600.71668,126.104
2024/05/07 23:58:00.008,n,-210.08616,-600.71668,126.20226
2024/05/07 23:58:05.001,n,-209.85032,-600.81236,126.08068
2024/05/07 23:58:10.011,n,-209.77806,-600.75524,126.02528
2024/05/07 23:58:15.018,n,-210.14036,-600.7738,126.24684
2024/05/07 23:58:20.000,n,-210.21312,-600.7362,126.28264
2024/05/07 23:58:25.045,n,-210.03148,-600.7738,126.18142
2024/05/07 23:58:30.083,n,-210.03148,-600.75524,126.17752
2024/05/07 23:58:35.010,n,-210.14036,-600.7362,126.23894
2024/05/07 23:58:40.004,n,-209.8684,-600.75524,126.07954
2024/05/07 23:58:45.000,n,-210.17698,-600.71668,126.25682
2024/05/07 23:58:50.007,n,-209.8684,-600.7362,126.07554
2024/05/07 23:58:55.001,n,-210.322,-600.75524,126.35204
2024/05/07 23:59:00.175,n,-210.17698,-600.7362,126.26094
2024/05/07 23:59:05.003,n,-210.14036,-600.71668,126.23482
2024/05/07 23:59:10.019,n,-209.48754,-600.69764,125.83866
2024/05/07 23:59:15.007,n,-210.23118,-600.69764,126.28538
2024/05/07 23:59:20.000,n,-209.85032,-600.69764,126.0566
2024/05/07 23:59:25.010,n,-210.322,-600.71668,126.34394
2024/05/07 23:59:30.003,n,-209.83226,-600.75524,126.05784
2024/05/07 23:59:35.149,n,-210.17698,-600.69764,126.25282
2024/05/07 23:59:40.006,n,-210.08616,-600.7362,126.20638
2024/05/07 23:59:45.000,n,-209.9226,-600.69764,126.10002
2024/05/07 23:59:50.009,n,-210.21312,-600.79284,126.29454
2024/05/07 23:59:55.003,n,-210.34008,-600.75524,126.36292
2024/05/08 00:00:00.012,n,-210.14036,-600.69764,126.23082
2024/05/08 00:00:05.005,n,-209.88694,-600.69764,126.0786
2024/05/08 00:00:10.000,n,-210.28588,-600.75524,126.33036
