"Timestamp","TZ","V_(S2)_OXF (1S) (V)","I_(S2)_OXF (1S) (mA)","Calculation (watts)"
2024/05/13 23:45:05.113,n,-209.01048,-600.56756,125.52492
2024/05/13 23:45:10.074,n,-208.97484,-600.549,125.49964
2024/05/13 23:45:15.001,n,-208.92016,-600.51044,125.45874
2024/05/13 23:45:20.011,n,-209.24682,-600.51044,125.6549
2024/05/13 23:45:25.004,n,-209.156,-600.549,125.60842
2024/05/13 23:45:30.000,n,-209.17406,-600.52948,125.6152
2024/05/13 23:45:35.008,n,-209.17406,-600.549,125.61928
2024/05/13 23:45:40.000,n,-208.95628,-600.51044,125.48044
2024/05/13 23:45:45.010,n,-209.11936,-600.56756,125.59032
2024/05/13 23:45:50.004,n,-209.22826,-600.5866,125.6597
2024/05/13 23:45:55.013,n,-208.8474,-600.52948,125.41902
2024/05/13 23:46:00.007,n,-208.75706,-600.56756,125.37272
2024/05/13 23:46:05.000,n,-209.06518,-600.549,125.5539
2024/05/13 23:46:10.010,n,-208.8474,-600.5866,125.43096
2024/05/13 23:46:15.003,n,-209.08372,-600.549,125.56504
2024/05/13 23:46:20.000,n,-209.02904,-600.52948,125.5281
2024/05/13 23:46:25.006,n,-208.92016,-600.52948,125.46272
2024/05/13 23:46:30.017,n,-208.97484,-600.549,125.49964
2024/05/13 23:46:35.009,n,-208.9929,-600.6252,125.5264
2024/05/13 23:46:40.003,n,-208.88402,-600.5866,125.45294
2024/05/13 23:46:45.046,n,-209.01048,-600.49092,125.5089
2024/05/13 23:46:50.100,n,-208.75706,-600.45332,125.34888
2024/05/13 23:46:55.100,n,-209.01048,-600.549,125.52104
2024/05/13 23:47:00.125,n,-209.22826,-600.51044,125.64376
2024/05/13 23:47:05.002,n,-209.0471,-600.549,125.54304
2024/05/13 23:47:10.012,n,-208.66624,-600.52948,125.31024
2024/05/13 23:47:15.006,n,-208.77514,-600.56756,125.38358
2024/05/13 23:47:20.015,n,-208.93822,-600.549,125.47764
2024/05/13 23:47:25.008,n,-208.86596,-600.5866,125.4421
2024/05/13 23:47:30.001,n,-209.31908,-600.5866,125.71424
2024/05/13 23:47:35.011,n,-209.08372,-600.51044,125.55696
2024/05/13 23:47:40.000,n,-208.68432,-600.5866,125.333
2024/05/13 23:47:45.015,n,-209.1013,-600.549,125.57558
2024/05/13 23:47:50.008,n,-208.9929,-600.56756,125.51436
2024/05/13 23:47:55.000,n,-208.7927,-600.56756,125.39414
2024/05/13 23:48:00.134,n,-208.50316,-600.49092,125.20426
2024/05/13 23:48:05.000,n,-208.81176,-600.549,125.4017
2024/05/13 23:48:10.000,n,-208.95628,-600.56756,125.49238
2024/05/13 23:48:15.000,n,-208.86596,-600.51044,125.4262
2024/05/13 23:48:20.000,n,-208.4304,-600.549,125.17268
2024/05/13 23:48:25.116,n,-208.93822,-600.51044,125.46958
2024/05/13 23:48:30.091,n,-208.66624,-600.52948,125.31024
2024/05/13 23:48:35.000,n,-208.44848,-600.49092,125.17142
2024/05/13 23:48:40.000,n,-209.01048,-600.51044,125.51298
2024/05/13 23:48:45.001,n,-208.82934,-600.51044,125.4042
2024/05/13 23:48:50.000,n,-208.95628,-600.60564,125.50034
2024/05/13 23:48:55.043,n,-208.73852,-600.49092,125.34558
2024/05/13 23:49:00.000,n,-209.0471,-600.549,125.54304
2024/05/13 23:49:05.000,n,-208.9016,-600.51044,125.4476
2024/05/13 23:49:10.000,n,-209.08372,-600.51044,125.55696
2024/05/13 23:49:15.000,n,-209.19262,-600.56756,125.6343
2024/05/13 23:49:20.000,n,-208.57542,-600.56756,125.26364
2024/05/13 23:49:25.000,n,-208.7927,-600.549,125.39026
2024/05/13 23:49:30.000,n,-208.73852,-600.52948,125.35364
2024/05/13 23:49:35.000,n,-208.70286,-600.5866,125.34416
2024/05/13 23:49:40.043,n,-208.8474,-600.47236,125.4071
2024/05/13 23:49:45.000,n,-208.9929,-600.52948,125.5064
