Time,Voltage,dT
1989-03-13 01:00:00,-9.431023880282485,30.1385575189558
1989-03-13 01:00:20,-7.870832835450788,40.744418225775114
1989-03-13 01:00:40,-6.662550295910977,53.446119215676624
1989-03-13 01:01:00,-5.789688749693506,67.9892661603176
1989-03-13 01:01:20,-5.235760684828837,84.11946473135534
1989-03-13 01:01:40,-4.984278589347425,101.5823206004471
1989-03-13 01:02:00,-5.018754951279729,120.12343943925016
1989-03-13 01:02:20,-5.322702258656209,139.48842691942187
1989-03-13 01:02:40,-5.8796329995073195,159.42288871261943
1989-03-13 01:03:00,-6.673059661863521,179.67243049050012
1989-03-13 01:03:20,-7.686494733755272,199.98265792472137
1989-03-13 01:03:40,-8.88730942679058,220.14239715641767
1989-03-13 01:04:00,-10.163247332747474,240.15368814094464
1989-03-13 01:04:20,-11.377540291852666,260.08420439212205
1989-03-13 01:04:40,-12.39341335589097,280.0016376007487
1989-03-13 01:05:00,-13.099627570759557,299.96046775302193
1989-03-13 01:05:20,-13.495004018128705,319.9582324394484
1989-03-13 01:05:40,-13.608008803881692,339.9771316333232
1989-03-13 01:06:00,-13.467108457639656,359.99936508870974
1989-03-13 01:06:20,-13.113497184399979,380.0105065206883
1989-03-13 01:06:40,-12.645070937484487,400.0111606286151
1989-03-13 01:07:00,-12.175509849042646,420.0061163169326
1989-03-13 01:07:20,-11.818494707457162,440.0001626640437
1989-03-13 01:07:40,-11.658844703691491,459.9971775820795
1989-03-13 01:08:00,-11.653443535017702,479.9970000346311
1989-03-13 01:08:20,-11.72373820940608,499.99835024208187
1989-03-13 01:08:40,-11.791174451321886,519.9999483842952
1989-03-13 01:09:00,-11.793405904268727,540.0007537466213
1989-03-13 01:09:20,-11.74124369659948,560.0008048619087
1989-03-13 01:09:40,-11.66613032689671,580.0004446249548
1989-03-13 01:10:00,-11.5995094879137,600.0000159481743
1989-03-13 01:10:20,-11.57012141802277,619.9997987286565
1989-03-13 01:10:40,-11.594312185745226,639.9997839654626
1989-03-13 01:11:00,-11.684878143478462,659.9998799166549
1989-03-13 01:11:20,-11.854615352540467,679.9999948335111
1989-03-13 01:11:40,-12.096514833066317,700.0000534418847
1989-03-13 01:12:00,-12.310732874515804,720.0000576910389
1989-03-13 01:12:20,-12.370248068305145,740.0000321376658
1989-03-13 01:12:40,-12.148035579853666,760.0000013413069
1989-03-13 01:13:00,-11.57188976598418,779.9999855525409
1989-03-13 01:13:20,-10.83229463060278,799.9999843737087
1989-03-13 01:13:40,-10.198326301248294,819.9999912295596
1989-03-13 01:14:00,-9.939075228089573,839.9999995437174
1989-03-13 01:14:20,-10.245494546960852,860.0000039012438
1989-03-13 01:14:40,-10.93880460202008,880.0000043829293
1989-03-13 01:15:00,-11.7309739824283,900.0000026934888
1989-03-13 01:15:20,-12.333955053004468,920.0000005378772
1989-03-13 01:15:40,-12.521718373924724,939.9999993400098
1989-03-13 01:16:00,-12.37764039415788,959.999999121694
1989-03-13 01:16:20,-12.081394309568328,979.9999994683593
1989-03-13 01:16:40,-11.81268416411267,999.9999999652957
1989-03-13 01:17:00,-11.71055388247802,1020.0000002635379
1989-03-13 01:17:20,-11.709072163849907,1040.0000003455555
1989-03-13 01:17:40,-11.677861801633343,1060.0000002980228
1989-03-13 01:18:00,-11.486522127923388,1080.0000002076529
1989-03-13 01:18:20,-11.051037110786446,1100.0000001486535
