"Timestamp","TZ","V_S6_TNG (V)","I_S6_TNG (mA)"
2024/10/11 23:54:30.005,n,2443.7054,868.67056
2024/10/11 23:54:35.000,n,2444.4912,868.8412
2024/10/11 23:54:40.000,n,2443.764,868.5772
2024/10/11 23:54:45.002,n,2444.0112,868.82592
2024/10/11 23:54:50.000,n,2443.5604,868.65488
2024/10/11 23:54:55.005,n,2443.167,868.77976
2024/10/11 23:55:00.000,n,2443.7496,868.81024
2024/10/11 23:55:05.157,n,2443.4146,868.65488
2024/10/11 23:55:10.002,n,2443.6912,868.77976
2024/10/11 23:55:15.000,n,2443.9094,868.81024
2024/10/11 23:55:20.004,n,2444.1274,868.8412
2024/10/11 23:55:25.000,n,2443.6622,868.5772
2024/10/11 23:55:30.008,n,2443.9964,868.7016
2024/10/11 23:55:35.001,n,2444.1274,868.65488
2024/10/11 23:55:40.000,n,2444.0544,868.85696
2024/10/11 23:55:45.004,n,2444.1712,868.59296
2024/10/11 23:55:50.000,n,2444.404,868.82592
2024/10/11 23:55:55.007,n,2444.186,868.82592
2024/10/11 23:56:00.000,n,2444.3602,868.56192
2024/10/11 23:56:05.000,n,2443.4584,868.73256
2024/10/11 23:56:10.084,n,2443.167,868.85696
2024/10/11 23:56:15.000,n,2444.2438,868.81024
2024/10/11 23:56:20.001,n,2443.9382,868.764
2024/10/11 23:56:25.000,n,2443.9094,868.8412
2024/10/11 23:56:30.005,n,2443.764,868.7016
2024/10/11 23:56:35.003,n,2443.9676,868.82592
2024/10/11 23:56:40.000,n,2444.1418,868.6392
2024/10/11 23:56:45.006,n,2443.2254,868.77976
2024/10/11 23:56:50.016,n,2443.6474,868.60864
2024/10/11 23:56:55.000,n,2443.2692,868.67056
2024/10/11 23:57:00.002,n,2444.0694,868.67056
2024/10/11 23:57:05.000,n,2443.5748,868.77976
2024/10/11 23:57:10.006,n,2443.5748,868.74832
2024/10/11 23:57:15.000,n,2444.3602,868.59296
2024/10/11 23:57:20.000,n,2443.4876,868.59296
2024/10/11 23:57:25.002,n,2443.7346,868.79448
2024/10/11 23:57:30.000,n,2443.7928,868.71728
2024/10/11 23:57:35.006,n,2443.0074,868.54624
2024/10/11 23:57:40.000,n,2444.0544,868.87264
2024/10/11 23:57:45.008,n,2444.0838,868.764
2024/10/11 23:57:50.001,n,2443.5892,868.6392
2024/10/11 23:57:55.000,n,2443.5748,868.77976
2024/10/11 23:58:00.004,n,2443.5748,868.67056
2024/10/11 23:58:05.000,n,2443.8658,868.77976
2024/10/11 23:58:10.007,n,2443.7928,868.59296
2024/10/11 23:58:15.001,n,2442.9056,868.764
2024/10/11 23:58:20.000,n,2444.1418,868.79448
2024/10/11 23:58:25.004,n,2443.2832,868.60864
2024/10/11 23:58:30.000,n,2443.7202,868.82592
2024/10/11 23:58:35.007,n,2443.3128,868.71728
2024/10/11 23:58:40.085,n,2443.851,868.7016
2024/10/11 23:58:45.000,n,2443.764,868.74832
2024/10/11 23:58:50.004,n,2444.0694,868.7016
2024/10/11 23:58:55.000,n,2443.5604,868.59296
2024/10/11 23:59:00.007,n,2443.5892,868.67056
2024/10/11 23:59:05.001,n,2444.1564,868.73256
2024/10/11 23:59:10.000,n,2443.9676,868.81024
2024/10/11 23:59:15.003,n,2444.0402,868.71728
2024/10/11 23:59:20.046,n,2443.6038,868.71728
2024/10/11 23:59:25.006,n,2443.895,868.65488
2024/10/11 23:59:30.095,n,2443.9094,868.74832
2024/10/11 23:59:35.000,n,2443.5892,868.8412
2024/10/11 23:59:40.002,n,2443.7928,868.59296
2024/10/11 23:59:45.000,n,2444.0112,868.81024
2024/10/11 23:59:50.005,n,2443.3274,868.60864
2024/10/11 23:59:55.000,n,2443.6474,868.77976
2024/10/12 00:00:00.009,n,2443.7054,868.65488
2024/10/12 00:00:05.031,n,2443.6622,868.65488
2024/10/12 00:00:10.000,n,2443.6038,868.67056
2024/10/12 00:00:15.005,n,2443.5458,868.68584
2024/10/12 00:00:20.000,n,2443.5892,868.73256
2024/10/12 00:00:25.008,n,2443.6622,868.93456
2024/10/12 00:00:30.002,n,2443.8366,868.73256
2024/10/12 00:00:35.000,n,2443.8658,868.764
2024/10/12 00:00:40.004,n,2443.9676,868.71728
2024/10/12 00:00:45.051,n,2443.6766,868.81024
2024/10/12 00:00:50.007,n,2443.5458,868.68584
2024/10/12 00:00:55.001,n,2443.4292,868.79448
2024/10/12 00:01:00.000,n,2443.8658,868.7016
2024/10/12 00:01:05.004,n,2443.851,868.59296
2024/10/12 00:01:10.000,n,2443.4002,868.68584
2024/10/12 00:01:15.007,n,2444.0838,868.764
2024/10/12 00:01:20.001,n,2443.822,868.5772
2024/10/12 00:01:25.000,n,2443.1526,868.7016
2024/10/12 00:01:30.003,n,2443.851,868.46856
2024/10/12 00:01:35.000,n,2443.5308,868.67056
2024/10/12 00:01:40.006,n,2443.5308,868.54624
