"Timestamp","TZ","V_S6_TNG (V)","I_S6_TNG (mA)"
2024/05/08 23:45:05.050,n,1978.7868,872.2076
2024/05/08 23:45:10.000,n,1978.6302,872.17616
2024/05/08 23:45:15.000,n,1978.4574,872.3472
2024/05/08 23:45:20.000,n,1977.9246,872.2228
2024/05/08 23:45:25.000,n,1977.9874,872.31576
2024/05/08 23:45:30.000,n,1978.8814,872.25432
2024/05/08 23:45:35.000,n,1979.069,872.2228
2024/05/08 23:45:40.000,n,1979.054,872.25432
2024/05/08 23:45:45.000,n,1977.8306,872.3624
2024/05/08 23:45:50.000,n,1977.9874,872.31576
2024/05/08 23:45:55.000,n,1978.2698,872.14568
2024/05/08 23:46:00.000,n,1978.9594,872.26952
2024/05/08 23:46:05.000,n,1979.3044,872.28528
2024/05/08 23:46:10.000,n,1978.6618,872.14568
2024/05/08 23:46:15.000,n,1978.2698,872.33152
2024/05/08 23:46:20.000,n,1977.8466,872.2228
2024/05/08 23:46:25.000,n,1978.8692,872.3896
2024/05/08 23:46:30.001,n,1978.179,872.42008
2024/05/08 23:46:35.016,n,1978.493,872.25
2024/05/08 23:46:40.104,n,1978.3826,872.34288
2024/05/08 23:46:45.000,n,1977.9444,872.42008
2024/05/08 23:46:50.000,n,1978.3826,872.40432
2024/05/08 23:46:55.001,n,1978.7118,872.42008
2024/05/08 23:47:00.000,n,1978.179,872.43584
2024/05/08 23:47:05.000,n,1978.6028,872.31144
2024/05/08 23:47:10.000,n,1978.2886,872.35816
2024/05/08 23:47:15.000,n,1977.646,872.3272
2024/05/08 23:47:20.000,n,1977.6772,872.31144
2024/05/08 23:47:25.000,n,1978.6498,872.37392
2024/05/08 23:47:30.039,n,1978.4302,872.45104
2024/05/08 23:47:35.000,n,1978.7276,872.28048
2024/05/08 23:47:40.000,n,1979.2924,872.25
2024/05/08 23:47:45.009,n,1978.2106,872.3272
2024/05/08 23:47:50.000,n,1978.085,872.42008
2024/05/08 23:47:55.000,n,1978.2576,872.29624
2024/05/08 23:48:00.000,n,1978.618,872.45104
2024/05/08 23:48:05.000,n,1978.2418,872.34288
2024/05/08 23:48:10.000,n,1978.6808,872.3896
2024/05/08 23:48:15.000,n,1977.4106,872.25
2024/05/08 23:48:20.000,n,1978.0064,872.3896
2024/05/08 23:48:25.000,n,1978.4144,872.29624
2024/05/08 23:48:30.000,n,1978.3674,872.37392
2024/05/08 23:48:35.116,n,1977.9444,872.28048
2024/05/08 23:48:40.000,n,1978.4614,872.17184
2024/05/08 23:48:45.001,n,1978.1948,872.3272
2024/05/08 23:48:50.000,n,1978.1168,872.23424
2024/05/08 23:48:55.079,n,1978.8222,872.35816
2024/05/08 23:49:00.000,n,1978.8376,872.3272
2024/05/08 23:49:05.000,n,1978.8534,872.40432
2024/05/08 23:49:10.177,n,1978.7276,872.40432
2024/05/08 23:49:15.000,n,1977.2698,872.42008
2024/05/08 23:49:20.000,n,1978.8064,872.45104
2024/05/08 23:49:25.000,n,1978.446,872.48256
2024/05/08 23:49:30.000,n,1978.7752,872.40432
2024/05/08 23:49:35.001,n,1978.2258,872.20328
2024/05/08 23:49:40.000,n,1979.01,872.28048
2024/05/08 23:49:45.000,n,1977.6302,872.23424
2024/05/08 23:49:50.000,n,1978.4144,872.4668
2024/05/08 23:49:55.000,n,1978.2418,872.29624
2024/05/08 23:50:00.000,n,1978.1636,872.23424
2024/05/08 23:50:05.000,n,1978.3514,872.3896
2024/05/08 23:50:10.000,n,1979.0412,872.42008
2024/05/08 23:50:15.000,n,1977.207,872.29624
2024/05/08 23:50:20.090,n,1977.5514,872.34288
2024/05/08 23:50:25.000,n,1978.038,872.43584
2024/05/08 23:50:30.000,n,1978.4144,872.28048
2024/05/08 23:50:35.003,n,1977.8656,872.21856
2024/05/08 23:50:40.159,n,1978.4772,872.45104
2024/05/08 23:50:45.000,n,1977.207,872.42008
2024/05/08 23:50:50.000,n,1977.7248,872.40432
2024/05/08 23:50:55.000,n,1978.132,872.42008
2024/05/08 23:51:00.003,n,1978.2736,872.3896
2024/05/08 23:51:05.000,n,1978.2258,872.34288
2024/05/08 23:51:10.000,n,1978.524,872.34288
2024/05/08 23:51:15.000,n,1977.8806,872.3896
2024/05/08 23:51:20.000,n,1978.0064,872.28048
2024/05/08 23:51:25.002,n,1978.0222,872.37392
2024/05/08 23:51:30.000,n,1977.7868,872.40432
2024/05/08 23:51:35.033,n,1978.8064,872.3896
2024/05/08 23:51:40.000,n,1978.493,872.45104
2024/05/08 23:51:45.000,n,1977.8338,872.1876
2024/05/08 23:51:50.001,n,1977.3478,872.3896
2024/05/08 23:51:55.000,n,1978.0534,872.45104
2024/05/08 23:52:00.000,n,1978.6966,872.57544
2024/05/08 23:52:05.000,n,1978.132,872.31144
2024/05/08 23:52:10.000,n,1978.5082,872.2648
2024/05/08 23:52:15.002,n,1977.7558,872.29624
2024/05/08 23:52:20.000,n,1977.8974,872.40432
2024/05/08 23:52:25.000,n,1977.3954,872.37392
2024/05/08 23:52:30.073,n,1978.7436,872.43584
2024/05/08 23:52:35.000,n,1978.3206,872.37392
2024/05/08 23:52:40.000,n,1978.2576,872.2648
2024/05/08 23:52:45.000,n,1978.2106,872.31144
2024/05/08 23:52:50.006,n,1978.2106,872.37392
2024/05/08 23:52:55.000,n,1978.54,872.3272
2024/05/08 23:53:00.122,n,1978.0222,872.4668
2024/05/08 23:53:05.000,n,1978.3044,872.4668
2024/05/08 23:53:10.000,n,1978.8534,872.2648
2024/05/08 23:53:15.003,n,1977.8186,872.29624
2024/05/08 23:53:20.000,n,1978.587,872.34288
2024/05/08 23:53:25.000,n,1978.446,872.3896
2024/05/08 23:53:30.000,n,1978.2418,872.23424
2024/05/08 23:53:35.000,n,1978.7752,872.3272
2024/05/08 23:53:40.002,n,1978.8692,872.43584
2024/05/08 23:53:45.000,n,1977.9752,872.29624
2024/05/08 23:53:50.000,n,1978.1168,872.43584
2024/05/08 23:53:55.000,n,1978.4302,872.2648
2024/05/08 23:54:00.000,n,1978.1168,872.3896
2024/05/08 23:54:05.002,n,1978.2418,872.20328
2024/05/08 23:54:10.000,n,1978.618,872.3272
2024/05/08 23:54:15.000,n,1978.4614,872.35816
2024/05/08 23:54:20.000,n,1978.2106,872.40432
2024/05/08 23:54:25.000,n,1977.332,872.43584
2024/05/08 23:54:30.001,n,1977.5514,872.29624
2024/05/08 23:54:35.061,n,1978.7276,872.31144
2024/05/08 23:54:40.000,n,1978.3356,872.31144
2024/05/08 23:54:45.000,n,1977.5732,872.39144
2024/05/08 23:54:50.000,n,1977.8672,872.4708
2024/05/08 23:54:55.001,n,1978.2434,872.31544
2024/05/08 23:55:00.000,n,1978.5416,872.20728
2024/05/08 23:55:05.000,n,1978.0556,872.22256
2024/05/08 23:55:10.047,n,1978.8392,872.34696
2024/05/08 23:55:15.000,n,1978.0556,872.42408
2024/05/08 23:55:20.000,n,1977.8514,872.4708
2024/05/08 23:55:25.000,n,1977.836,872.254
2024/05/08 23:55:30.004,n,1978.369,872.36216
2024/05/08 23:55:35.000,n,1978.3532,872.3312
2024/05/08 23:55:40.000,n,1978.1494,872.28448
2024/05/08 23:55:45.000,n,1977.914,872.254
2024/05/08 23:55:50.000,n,1978.1026,872.40832
2024/05/08 23:55:55.003,n,1978.4158,872.3312
2024/05/08 23:56:00.096,n,1978.9018,872.23832
2024/05/08 23:56:05.040,n,1978.6672,872.42408
2024/05/08 23:56:10.000,n,1978.5416,872.37784
2024/05/08 23:56:15.000,n,1977.8514,872.40832
2024/05/08 23:56:20.003,n,1978.2592,872.36216
2024/05/08 23:56:25.000,n,1977.93,872.08296
2024/05/08 23:56:30.000,n,1978.5568,872.34696
2024/05/08 23:56:35.181,n,1978.5568,872.28448
2024/05/08 23:56:40.000,n,1978.5568,872.22256
2024/05/08 23:56:45.002,n,1977.914,872.30024
2024/05/08 23:56:50.000,n,1977.5068,872.22256
2024/05/08 23:56:55.000,n,1978.5726,872.36216
2024/05/08 23:57:00.000,n,1978.4,872.22256
2024/05/08 23:57:05.000,n,1978.7142,872.23832
2024/05/08 23:57:10.001,n,1978.6824,872.34696
2024/05/08 23:57:15.000,n,1977.3184,872.23832
2024/05/08 23:57:20.000,n,1978.1336,872.50224
2024/05/08 23:57:25.000,n,1978.1336,872.17584
2024/05/08 23:57:30.068,n,1978.6354,872.31544
2024/05/08 23:57:35.002,n,1978.338,872.26872
2024/05/08 23:57:40.000,n,1978.7612,872.34696
2024/05/08 23:57:45.005,n,1977.7574,872.30024
2024/05/08 23:57:50.066,n,1978.5098,872.16104
2024/05/08 23:57:55.000,n,1978.2276,872.34696
2024/05/08 23:58:00.001,n,1978.5886,872.40832
2024/05/08 23:58:05.000,n,1977.961,872.31544
2024/05/08 23:58:10.004,n,1978.5098,872.30024
2024/05/08 23:58:15.000,n,1978.1964,872.20728
2024/05/08 23:58:20.000,n,1978.4628,872.254
2024/05/08 23:58:25.000,n,1977.6786,872.36216
2024/05/08 23:58:30.000,n,1978.2902,872.20728
2024/05/08 23:58:35.003,n,1978.9798,872.40832
