"Timestamp","TZ","V_S6_TNG (V)","I_S6_TNG (mA)"
2024/05/09 23:45:05.128,n,1981.9596,872.38528
2024/05/09 23:45:10.000,n,1982.2902,872.32288
2024/05/09 23:45:15.000,n,1981.283,872.30712
2024/05/09 23:45:20.047,n,1981.283,872.24576
2024/05/09 23:45:25.028,n,1981.4246,872.35384
2024/05/09 23:45:30.000,n,1981.6136,872.30712
2024/05/09 23:45:35.000,n,1981.0006,872.21424
2024/05/09 23:45:40.000,n,1981.9284,872.47824
2024/05/09 23:45:45.000,n,1981.1572,872.3696
2024/05/09 23:45:50.007,n,1981.4246,872.29192
2024/05/09 23:45:55.000,n,1981.9754,872.50872
2024/05/09 23:46:00.000,n,1981.9754,872.2604
2024/05/09 23:46:05.000,n,1981.7552,872.30712
2024/05/09 23:46:10.000,n,1982.4008,872.30712
2024/05/09 23:46:15.000,n,1981.0952,872.30712
2024/05/09 23:46:20.078,n,1981.6916,872.40008
2024/05/09 23:46:25.000,n,1981.566,872.23
2024/05/09 23:46:30.003,n,1980.9068,872.30712
2024/05/09 23:46:35.000,n,1981.1572,872.35384
2024/05/09 23:46:40.000,n,1981.7394,872.32288
2024/05/09 23:46:45.000,n,1981.5502,872.3696
2024/05/09 23:46:50.000,n,1980.9538,872.38528
2024/05/09 23:46:55.002,n,1981.4086,872.27616
2024/05/09 23:47:00.000,n,1981.0164,872.2604
2024/05/09 23:47:05.000,n,1981.4404,872.23
2024/05/09 23:47:10.000,n,1982.101,872.16752
2024/05/09 23:47:15.000,n,1981.1104,872.30712
2024/05/09 23:47:20.001,n,1981.1732,872.33864
2024/05/09 23:47:25.007,n,1981.267,872.2604
2024/05/09 23:47:30.000,n,1981.1884,872.27616
2024/05/09 23:47:35.000,n,1981.8656,872.35384
2024/05/09 23:47:40.000,n,1981.7082,872.23
2024/05/09 23:47:45.001,n,1981.0952,872.40008
2024/05/09 23:47:50.000,n,1981.4874,872.30712
