"Timestamp","TZ","V_S6_TNG (V)","I_S6_TNG (mA)"
2024/10/07 23:45:05.003,n,2439.3488,868.75336
2024/10/07 23:45:10.000,n,2439.4798,868.58224
2024/10/07 23:45:15.000,n,2439.4218,868.598
2024/10/07 23:45:20.000,n,2439.2614,868.73864
2024/10/07 23:45:25.000,n,2439.0428,868.5676
2024/10/07 23:45:30.002,n,2440.2612,868.80408
2024/10/07 23:45:35.000,n,2439.1976,868.71024
2024/10/07 23:45:40.000,n,2439.854,868.67968
2024/10/07 23:45:45.000,n,2439.8676,868.77256
2024/10/07 23:45:50.000,n,2439.6058,868.75736
2024/10/07 23:45:55.001,n,2439.4018,868.71024
2024/10/07 23:46:00.000,n,2439.2122,868.77256
2024/10/07 23:46:05.006,n,2439.4598,868.71024
2024/10/07 23:46:10.000,n,2439.5766,868.71024
2024/10/07 23:46:15.000,n,2438.9794,868.67968
2024/10/07 23:46:20.001,n,2439.8242,868.63296
2024/10/07 23:46:25.000,n,2439.6788,868.58632
2024/10/07 23:46:30.005,n,2439.7662,868.57056
2024/10/07 23:46:35.000,n,2439.5036,868.72592
2024/10/07 23:46:40.000,n,2439.5476,868.66392
2024/10/07 23:46:45.001,n,2439.9118,868.54008
2024/10/07 23:46:50.000,n,2440.043,868.6016
2024/10/07 23:46:55.004,n,2439.8242,868.69544
2024/10/07 23:47:00.000,n,2439.4166,868.63296
2024/10/07 23:47:05.000,n,2439.7368,868.75736
2024/10/07 23:47:10.000,n,2440.2764,868.69544
2024/10/07 23:47:15.000,n,2439.8242,868.67968
2024/10/07 23:47:20.003,n,2439.6788,868.6016
2024/10/07 23:47:25.000,n,2439.5616,868.50864
2024/10/07 23:47:30.000,n,2439.9992,868.63296
2024/10/07 23:47:35.000,n,2440.0136,868.7416
2024/10/07 23:47:40.000,n,2439.6638,868.57056
2024/10/07 23:47:45.002,n,2439.5616,868.58632
2024/10/07 23:47:50.000,n,2438.833,868.57056
2024/10/07 23:47:55.000,n,2439.635,868.75736
