"Timestamp","TZ","V_S6_TNG (V)","I_S6_TNG (mA)"
2024/05/16 23:45:05.009,n,1955.3984,870.82944
2024/05/16 23:45:10.003,n,1955.8878,871.00048
2024/05/16 23:45:15.000,n,1956.519,870.7984
2024/05/16 23:45:20.006,n,1956.03,870.82944
2024/05/16 23:45:25.000,n,1955.8878,870.92232
2024/05/16 23:45:30.009,n,1955.9348,870.95376
2024/05/16 23:45:35.003,n,1955.5874,871.00048
2024/05/16 23:45:40.000,n,1955.651,870.95376
2024/05/16 23:45:45.005,n,1955.5246,870.98472
2024/05/16 23:45:50.000,n,1955.5874,870.82944
2024/05/16 23:45:55.008,n,1955.9506,870.7984
2024/05/16 23:46:00.001,n,1955.7774,870.92232
2024/05/16 23:46:05.176,n,1956.1876,870.82944
2024/05/16 23:46:10.020,n,1956.0612,870.93808
2024/05/16 23:46:15.000,n,1955.8244,871.12432
2024/05/16 23:46:20.140,n,1955.667,871.09336
2024/05/16 23:46:25.001,n,1955.9348,870.98472
2024/05/16 23:46:30.011,n,1955.7298,870.89184
2024/05/16 23:46:35.004,n,1955.667,870.86032
2024/05/16 23:46:40.131,n,1955.4928,870.90752
2024/05/16 23:46:45.008,n,1956.0452,871.0152
2024/05/16 23:46:50.000,n,1955.5716,871.00048
2024/05/16 23:46:55.011,n,1955.3348,871.12432
2024/05/16 23:47:00.004,n,1955.3666,871.0776
2024/05/16 23:47:05.000,n,1956.077,870.90752
2024/05/16 23:47:10.054,n,1955.7614,870.96896
2024/05/16 23:47:15.000,n,1955.9196,870.87608
2024/05/16 23:47:20.010,n,1955.9824,870.92232
2024/05/16 23:47:25.018,n,1956.1564,870.89184
2024/05/16 23:47:30.000,n,1955.7932,870.82944
2024/05/16 23:47:35.006,n,1955.8402,871.0152
2024/05/16 23:47:40.000,n,1955.9506,870.89184
2024/05/16 23:47:45.175,n,1955.4142,870.90752
2024/05/16 23:47:50.002,n,1955.8244,870.90752
2024/05/16 23:47:55.000,n,1955.9348,870.92232
2024/05/16 23:48:00.006,n,1955.7932,871.0152
2024/05/16 23:48:05.000,n,1955.856,870.98472
2024/05/16 23:48:10.009,n,1955.7298,870.95376
2024/05/16 23:48:15.002,n,1955.8084,871.0152
2024/05/16 23:48:20.000,n,1955.7456,870.93808
2024/05/16 23:48:25.006,n,1955.8244,871.03096
2024/05/16 23:48:30.000,n,1955.3188,870.87608
2024/05/16 23:48:35.008,n,1955.6978,870.86032
2024/05/16 23:48:40.004,n,1955.635,871.10912
2024/05/16 23:48:45.079,n,1955.872,871.03096
2024/05/16 23:48:50.153,n,1955.6192,871.03096
2024/05/16 23:48:55.000,n,1955.856,870.93808
2024/05/16 23:49:00.008,n,1956.2662,870.90752
2024/05/16 23:49:05.001,n,1955.8402,871.00048
2024/05/16 23:49:10.011,n,1955.682,870.96896
2024/05/16 23:49:15.004,n,1955.5088,870.98472
2024/05/16 23:49:20.000,n,1955.7614,870.90752
2024/05/16 23:49:25.007,n,1955.7298,870.86032
2024/05/16 23:49:30.001,n,1955.3188,871.04672
2024/05/16 23:49:35.010,n,1955.651,870.92232
2024/05/16 23:49:40.004,n,1955.856,870.93808
2024/05/16 23:49:45.000,n,1955.8244,870.90752
2024/05/16 23:49:50.007,n,1955.7138,870.93808
2024/05/16 23:49:55.000,n,1955.5556,870.89184
2024/05/16 23:50:00.010,n,1956.2502,870.90752
2024/05/16 23:50:05.020,n,1955.9766,871.02952
2024/05/16 23:50:10.000,n,1956.1656,871.06096
2024/05/16 23:50:15.058,n,1955.5974,871.20064
2024/05/16 23:50:20.040,n,1955.6292,871.09152
2024/05/16 23:50:25.125,n,1955.6602,871.1072
2024/05/16 23:50:30.003,n,1955.7396,871.15384
2024/05/16 23:50:35.000,n,1956.3078,871.1224
2024/05/16 23:50:40.006,n,1955.8024,871.02952
2024/05/16 23:50:45.000,n,1955.8024,870.98288
2024/05/16 23:50:50.009,n,1956.292,870.98288
2024/05/16 23:50:55.002,n,1955.9448,871.0452
2024/05/16 23:51:00.012,n,1956.0084,871.01432
2024/05/16 23:51:05.122,n,1956.3548,871.0452
2024/05/16 23:51:10.000,n,1956.087,871.21632
2024/05/16 23:51:15.008,n,1956.1974,870.98288
2024/05/16 23:51:20.117,n,1956.1346,871.16912
2024/05/16 23:51:25.193,n,1955.4234,871.18488
2024/05/16 23:51:30.004,n,1956.6394,871.07576
2024/05/16 23:51:35.081,n,1956.118,871.1072
2024/05/16 23:51:40.008,n,1956.292,871.0452
2024/05/16 23:51:45.001,n,1955.5974,871.15384
2024/05/16 23:51:50.011,n,1956.118,871.09152
2024/05/16 23:51:55.000,n,1955.7238,870.98288
2024/05/16 23:52:00.000,n,1955.8978,871.13816
2024/05/16 23:52:05.007,n,1955.5338,871.01432
2024/05/16 23:52:10.197,n,1955.9128,870.96712
2024/05/16 23:52:15.010,n,1956.2132,871.1072
2024/05/16 23:52:20.057,n,1955.9448,871.02952
2024/05/16 23:52:25.000,n,1955.7554,871.1072
2024/05/16 23:52:30.007,n,1955.8024,871.09152
2024/05/16 23:52:35.001,n,1955.882,871.18488
2024/05/16 23:52:40.077,n,1955.882,871.16912
2024/05/16 23:52:45.003,n,1955.645,871.02952
2024/05/16 23:52:50.000,n,1955.7396,871.1072
2024/05/16 23:52:55.006,n,1955.455,870.98288
2024/05/16 23:53:00.000,n,1956.1816,870.98288
2024/05/16 23:53:05.060,n,1955.8024,871.0452
2024/05/16 23:53:10.004,n,1955.8024,871.06096
2024/05/16 23:53:15.013,n,1955.3604,871.1072
2024/05/16 23:53:20.106,n,1955.5656,871.13816
2024/05/16 23:53:25.000,n,1955.3604,871.15384
2024/05/16 23:53:30.009,n,1955.4074,871.1072
2024/05/16 23:53:35.003,n,1955.9128,871.13816
2024/05/16 23:53:40.012,n,1955.7396,871.1224
2024/05/16 23:53:45.046,n,1955.8978,871.02952
2024/05/16 23:53:50.000,n,1955.7554,871.01432
2024/05/16 23:53:55.009,n,1955.9128,871.06096
2024/05/16 23:54:00.002,n,1955.4074,870.96712
2024/05/16 23:54:05.011,n,1956.102,871.0452
2024/05/16 23:54:10.056,n,1955.5338,871.1224
2024/05/16 23:54:15.000,n,1956.2608,870.98288
2024/05/16 23:54:20.008,n,1956.4024,871.0452
2024/05/16 23:54:25.001,n,1955.7866,870.98288
2024/05/16 23:54:30.012,n,1955.6762,871.07576
2024/05/16 23:54:35.004,n,1955.85,870.93608
2024/05/16 23:54:40.000,n,1956.292,871.06096
2024/05/16 23:54:45.048,n,1956.5448,871.01432
2024/05/16 23:54:50.026,n,1956.0394,871.1072
2024/05/16 23:54:55.010,n,1955.9916,871.06096
2024/05/16 23:55:00.006,n,1955.9448,871.01432
2024/05/16 23:55:05.000,n,1956.1656,871.06096
2024/05/16 23:55:10.007,n,1955.85,870.99856
2024/05/16 23:55:15.001,n,1955.7866,871.1224
