"Timestamp","TZ","V_S6_TNG (V)","I_S6_TNG (mA)"
2024/10/08 23:45:05.010,n,2434.667,868.79136
2024/10/08 23:45:10.003,n,2435.3386,868.74472
2024/10/08 23:45:15.000,n,2435.426,868.6204
2024/10/08 23:45:20.006,n,2435.2222,868.68272
2024/10/08 23:45:25.000,n,2434.2588,868.5736
2024/10/08 23:45:30.010,n,2435.28,868.68272
2024/10/08 23:45:35.003,n,2435.4698,868.74472
2024/10/08 23:45:40.063,n,2434.7112,868.88432
2024/10/08 23:45:45.007,n,2435.397,868.72904
2024/10/08 23:45:50.000,n,2434.8714,868.68272
2024/10/08 23:45:55.010,n,2435.3096,868.72904
2024/10/08 23:46:00.003,n,2435.1928,868.71424
2024/10/08 23:46:05.000,n,2435.368,868.9
2024/10/08 23:46:10.006,n,2434.9882,868.63608
2024/10/08 23:46:15.000,n,2435.1196,868.91576
2024/10/08 23:46:20.008,n,2435.368,868.68272
2024/10/08 23:46:25.003,n,2434.9008,868.71424
2024/10/08 23:46:30.011,n,2434.8278,868.6204
2024/10/08 23:46:35.005,n,2435.499,868.68272
2024/10/08 23:46:40.000,n,2435.4846,868.68272
2024/10/08 23:46:45.008,n,2435.1492,868.77568
2024/10/08 23:46:50.001,n,2435.353,868.63608
2024/10/08 23:46:55.011,n,2435.4406,868.83768
2024/10/08 23:47:00.004,n,2435.368,868.68272
2024/10/08 23:47:05.000,n,2435.1196,868.66704
2024/10/08 23:47:10.008,n,2435.353,868.82288
2024/10/08 23:47:15.001,n,2435.2952,868.69848
2024/10/08 23:47:20.010,n,2435.251,868.63608
2024/10/08 23:47:25.011,n,2435.7764,868.71424
2024/10/08 23:47:30.000,n,2435.8342,868.71424
2024/10/08 23:47:35.008,n,2435.5286,868.80712
2024/10/08 23:47:40.000,n,2436.0972,868.86904
2024/10/08 23:47:45.010,n,2435.6594,868.65176
2024/10/08 23:47:50.003,n,2435.791,868.82288
2024/10/08 23:47:55.000,n,2435.7178,868.82288
2024/10/08 23:48:00.006,n,2435.9072,868.72904
2024/10/08 23:48:05.145,n,2435.5286,868.74472
2024/10/08 23:48:10.009,n,2435.353,868.72904
2024/10/08 23:48:15.002,n,2435.9072,868.83768
2024/10/08 23:48:20.013,n,2435.2366,868.80712
2024/10/08 23:48:25.187,n,2435.9072,868.79136
2024/10/08 23:48:30.000,n,2435.4116,868.88432
2024/10/08 23:48:35.009,n,2435.8054,868.77568
2024/10/08 23:48:40.002,n,2435.6016,868.74472
2024/10/08 23:48:45.012,n,2435.8492,868.86904
2024/10/08 23:48:50.006,n,2435.5136,868.79136
2024/10/08 23:48:55.000,n,2435.9368,868.66704
2024/10/08 23:49:00.008,n,2435.2222,868.79136
2024/10/08 23:49:05.002,n,2434.9882,868.71424
2024/10/08 23:49:10.011,n,2435.6594,868.77568
2024/10/08 23:49:15.005,n,2435.4406,868.66704
2024/10/08 23:49:20.000,n,2435.7034,868.68272
2024/10/08 23:49:25.009,n,2435.5866,868.80712
2024/10/08 23:49:30.001,n,2435.0174,868.72904
2024/10/08 23:49:35.011,n,2435.1928,868.68272
2024/10/08 23:49:40.004,n,2435.5866,868.83768
2024/10/08 23:49:45.000,n,2434.7112,868.7604
2024/10/08 23:49:50.007,n,2435.7034,868.66704
2024/10/08 23:49:55.000,n,2435.6304,868.68272
2024/10/08 23:50:00.010,n,2435.6888,868.77568
2024/10/08 23:50:05.004,n,2435.6448,868.63608
2024/10/08 23:50:10.000,n,2435.2072,868.63608
2024/10/08 23:50:15.023,n,2435.1492,868.74472
2024/10/08 23:50:20.000,n,2435.6448,868.74472
2024/10/08 23:50:25.076,n,2435.9952,868.71424
