"Timestamp","TZ","V_S6_TNG (V)","I_S6_TNG (mA)"
2024/05/07 23:45:05.009,n,2130.2822,871.76504
2024/05/07 23:45:10.000,n,2130.405,871.54824
2024/05/07 23:45:15.000,n,2130.4814,871.68728
2024/05/07 23:45:20.004,n,2130.6346,871.5944
2024/05/07 23:45:25.000,n,2130.2512,871.6716
2024/05/07 23:45:30.006,n,2130.5732,871.54824
2024/05/07 23:45:35.000,n,2130.1284,871.5944
2024/05/07 23:45:40.000,n,2130.2664,871.64112
2024/05/07 23:45:45.095,n,2130.3436,871.5944
2024/05/07 23:45:50.000,n,2129.9594,871.64112
2024/05/07 23:45:55.105,n,2129.3458,871.70304
2024/05/07 23:46:00.000,n,2130.3436,871.71832
2024/05/07 23:46:05.030,n,2130.512,871.56296
2024/05/07 23:46:10.101,n,2130.2822,871.56296
2024/05/07 23:46:15.081,n,2129.8216,871.6716
2024/05/07 23:46:20.005,n,2130.1132,871.65688
2024/05/07 23:46:25.000,n,2130.3436,871.62536
2024/05/07 23:46:30.008,n,2130.236,871.43912
2024/05/07 23:46:35.056,n,2130.7422,871.68728
2024/05/07 23:46:40.000,n,2129.4532,871.5944
2024/05/07 23:46:45.004,n,2130.1284,871.53248
2024/05/07 23:46:50.000,n,2130.5582,871.71832
2024/05/07 23:46:55.007,n,2130.7884,871.62536
2024/05/07 23:47:00.001,n,2130.2048,871.6716
2024/05/07 23:47:05.000,n,2129.6072,871.78072
2024/05/07 23:47:10.004,n,2130.405,871.50152
2024/05/07 23:47:15.162,n,2130.2512,871.57864
2024/05/07 23:47:20.007,n,2130.1436,871.70304
2024/05/07 23:47:25.000,n,2129.914,871.57864
2024/05/07 23:47:30.000,n,2129.8216,871.56296
2024/05/07 23:47:35.004,n,2130.2048,871.62536
2024/05/07 23:47:40.178,n,2130.2048,871.62536
2024/05/07 23:47:45.122,n,2130.5428,871.53248
2024/05/07 23:47:50.066,n,2130.4504,871.62536
2024/05/07 23:47:55.000,n,2129.7912,871.53248
2024/05/07 23:48:00.003,n,2130.4354,871.76504
2024/05/07 23:48:05.000,n,2129.76,871.4548
2024/05/07 23:48:10.006,n,2130.2048,871.56296
2024/05/07 23:48:15.000,n,2130.0982,871.54824
2024/05/07 23:48:20.108,n,2129.9292,871.56296
2024/05/07 23:48:25.002,n,2130.082,871.68728
2024/05/07 23:48:30.000,n,2130.0366,871.70304
2024/05/07 23:48:35.005,n,2130.3738,871.53248
2024/05/07 23:48:40.000,n,2130.3124,871.51672
2024/05/07 23:48:45.009,n,2130.0056,871.70304
2024/05/07 23:48:50.002,n,2129.7448,871.5944
2024/05/07 23:48:55.000,n,2130.0056,871.51672
2024/05/07 23:49:00.005,n,2130.3738,871.50152
2024/05/07 23:49:05.000,n,2130.4504,871.68728
2024/05/07 23:49:10.157,n,2130.2822,871.68728
2024/05/07 23:49:15.101,n,2130.2512,871.57864
2024/05/07 23:49:20.045,n,2130.1284,871.65688
2024/05/07 23:49:25.004,n,2129.9594,871.54824
2024/05/07 23:49:30.000,n,2130.3738,871.65688
2024/05/07 23:49:35.007,n,2129.76,871.68728
2024/05/07 23:49:40.001,n,2130.4504,871.47
2024/05/07 23:49:45.000,n,2130.0208,871.61016
2024/05/07 23:49:50.004,n,2130.0366,871.61016
2024/05/07 23:49:55.069,n,2130.2974,871.74976
2024/05/07 23:50:00.007,n,2130.4202,871.56296
2024/05/07 23:50:05.001,n,2130.6194,871.57864
2024/05/07 23:50:10.000,n,2129.7448,871.56296
2024/05/07 23:50:15.004,n,2130.2208,871.56296
2024/05/07 23:50:20.000,n,2129.1614,871.54824
2024/05/07 23:50:25.173,n,2129.914,871.54824
2024/05/07 23:50:30.000,n,2130.6958,871.51672
2024/05/07 23:50:35.000,n,2130.6958,871.64112
2024/05/07 23:50:40.003,n,2130.512,871.5944
2024/05/07 23:50:45.079,n,2129.9594,871.54824
2024/05/07 23:50:50.089,n,2129.7448,871.64112
2024/05/07 23:50:55.166,n,2130.5428,871.71832
2024/05/07 23:51:00.032,n,2130.5428,871.65688
2024/05/07 23:51:05.002,n,2130.2512,871.6716
2024/05/07 23:51:10.032,n,2129.914,871.8112
2024/05/07 23:51:15.006,n,2130.896,871.56296
2024/05/07 23:51:20.000,n,2130.1284,871.65688
2024/05/07 23:51:25.009,n,2130.082,871.6716
2024/05/07 23:51:30.002,n,2129.9904,871.61016
2024/05/07 23:51:35.000,n,2129.7912,871.78072
2024/05/07 23:51:40.005,n,2130.1594,871.70304
2024/05/07 23:51:45.000,n,2130.19,871.68728
2024/05/07 23:51:50.008,n,2130.5278,871.61016
2024/05/07 23:51:55.001,n,2130.19,871.68728
2024/05/07 23:52:00.000,n,2130.0518,871.5944
2024/05/07 23:52:05.005,n,2130.3276,871.68728
2024/05/07 23:52:10.000,n,2129.8982,871.6716
2024/05/07 23:52:15.107,n,2129.7754,871.48576
2024/05/07 23:52:20.069,n,2130.3892,871.5944
2024/05/07 23:52:25.120,n,2129.6988,871.61016
2024/05/07 23:52:30.121,n,2129.914,871.57864
2024/05/07 23:52:35.000,n,2129.6684,871.65688
2024/05/07 23:52:40.008,n,2129.7138,871.43912
2024/05/07 23:52:45.001,n,2129.7448,871.65688
2024/05/07 23:52:50.000,n,2129.1768,871.61016
2024/05/07 23:52:55.004,n,2129.9292,871.65688
2024/05/07 23:53:00.000,n,2129.7754,871.62536
2024/05/07 23:53:05.008,n,2129.8216,871.54824
2024/05/07 23:53:10.000,n,2129.9594,871.57864
2024/05/07 23:53:15.010,n,2130.3436,871.47
2024/05/07 23:53:20.003,n,2129.6684,871.57864
2024/05/07 23:53:25.000,n,2129.6224,871.61016
2024/05/07 23:53:30.107,n,2129.1926,871.56296
2024/05/07 23:53:35.165,n,2129.4996,871.61016
2024/05/07 23:53:40.010,n,2129.0084,871.54824
2024/05/07 23:53:45.003,n,2129.3154,871.65688
2024/05/07 23:53:50.000,n,2130.1284,871.70304
2024/05/07 23:53:55.006,n,2129.9444,871.74976
2024/05/07 23:54:00.000,n,2130.082,871.8112
2024/05/07 23:54:05.009,n,2129.9754,871.71832
2024/05/07 23:54:10.002,n,2129.8366,871.53248
