"Timestamp","TZ","V_S6_TNG (V)","I_S6_TNG (mA)"
2024/10/12 23:45:05.001,n,2441.8234,868.5484
2024/10/12 23:45:10.008,n,2442.0854,868.34632
2024/10/12 23:45:15.014,n,2441.9546,868.30008
2024/10/12 23:45:20.011,n,2441.736,868.486
2024/10/12 23:45:25.005,n,2441.372,868.57936
2024/10/12 23:45:30.014,n,2441.6486,868.50168
2024/10/12 23:45:35.007,n,2441.7654,868.45544
2024/10/12 23:45:40.000,n,2441.736,868.51736
2024/10/12 23:45:45.000,n,2441.5616,868.53264
2024/10/12 23:45:50.005,n,2441.809,868.40872
2024/10/12 23:45:55.016,n,2441.736,868.424
2024/10/12 23:46:00.007,n,2441.314,868.3616
2024/10/12 23:46:05.000,n,2442.042,868.47024
2024/10/12 23:46:10.011,n,2442.362,868.56408
2024/10/12 23:46:15.004,n,2441.9258,868.51736
2024/10/12 23:46:20.013,n,2441.9396,868.3616
2024/10/12 23:46:25.006,n,2441.4448,868.51736
2024/10/12 23:46:30.000,n,2442.2602,868.25296
2024/10/12 23:46:35.009,n,2442.0854,868.424
2024/10/12 23:46:40.119,n,2441.7654,868.43976
2024/10/12 23:46:45.000,n,2441.5324,868.34632
2024/10/12 23:46:50.007,n,2442.5076,868.2844
2024/10/12 23:46:55.000,n,2442.0998,868.3616
2024/10/12 23:47:00.000,n,2441.8672,868.33064
2024/10/12 23:47:05.002,n,2441.9258,868.43976
2024/10/12 23:47:10.012,n,2442.0854,868.37728
2024/10/12 23:47:15.005,n,2441.8964,868.43976
2024/10/12 23:47:20.164,n,2442.0998,868.53264
2024/10/12 23:47:25.008,n,2442.1728,868.43976
2024/10/12 23:47:30.001,n,2442.3186,868.486
2024/10/12 23:47:35.000,n,2442.115,868.50168
2024/10/12 23:47:40.005,n,2441.4158,868.47024
2024/10/12 23:47:45.014,n,2442.3332,868.31488
2024/10/12 23:47:50.007,n,2442.3914,868.45544
2024/10/12 23:47:55.001,n,2442.216,868.39304
2024/10/12 23:48:00.093,n,2441.7214,868.57936
2024/10/12 23:48:05.004,n,2441.8816,868.486
2024/10/12 23:48:10.014,n,2442.1294,868.53264
2024/10/12 23:48:15.008,n,2442.2024,868.424
2024/10/12 23:48:20.000,n,2441.4594,868.486
2024/10/12 23:48:25.010,n,2441.6198,868.34632
2024/10/12 23:48:30.000,n,2442.3034,868.45544
2024/10/12 23:48:35.063,n,2442.2312,868.45544
2024/10/12 23:48:40.008,n,2442.595,868.40872
2024/10/12 23:48:45.016,n,2441.9108,868.2844
2024/10/12 23:48:50.009,n,2442.3764,868.57936
2024/10/12 23:48:55.003,n,2442.4932,868.39304
2024/10/12 23:49:00.013,n,2443.0022,868.53264
2024/10/12 23:49:05.006,n,2441.8234,868.51736
2024/10/12 23:49:10.000,n,2442.6094,868.486
2024/10/12 23:49:15.009,n,2441.809,868.424
2024/10/12 23:49:20.052,n,2442.668,868.59512
2024/10/12 23:49:25.000,n,2441.9396,868.43976
2024/10/12 23:49:30.005,n,2442.2746,868.31488
2024/10/12 23:49:35.016,n,2442.5662,868.45544
2024/10/12 23:49:40.042,n,2441.5468,868.486
2024/10/12 23:49:45.001,n,2441.9546,868.31488
2024/10/12 23:49:50.011,n,2442.5076,868.34632
2024/10/12 23:49:55.005,n,2441.9108,868.47024
2024/10/12 23:50:00.097,n,2441.4738,868.40872
2024/10/12 23:50:05.041,n,2442.1294,868.424
2024/10/12 23:50:10.000,n,2442.3476,868.424
2024/10/12 23:50:15.011,n,2441.2554,868.34632
2024/10/12 23:50:20.004,n,2442.071,868.37728
2024/10/12 23:50:25.014,n,2442.216,868.40872
2024/10/12 23:50:30.007,n,2442.5076,868.26864
2024/10/12 23:50:35.008,n,2442.2024,868.30008
2024/10/12 23:50:40.000,n,2441.285,868.50168
2024/10/12 23:50:45.003,n,2442.58,868.45544
2024/10/12 23:50:50.014,n,2442.042,868.424
2024/10/12 23:50:55.006,n,2442.0276,868.43976
2024/10/12 23:51:00.016,n,2441.8816,868.62656
2024/10/12 23:51:05.010,n,2441.9396,868.40872
2024/10/12 23:51:10.000,n,2442.0998,868.47024
2024/10/12 23:51:15.000,n,2442.4788,868.424
2024/10/12 23:51:20.000,n,2442.2024,868.486
2024/10/12 23:51:25.131,n,2442.6094,868.39304
2024/10/12 23:51:30.009,n,2442.1294,868.50168
2024/10/12 23:51:35.002,n,2442.5512,868.57936
2024/10/12 23:51:40.012,n,2442.1294,868.37728
2024/10/12 23:51:45.006,n,2441.5468,868.486
2024/10/12 23:51:50.000,n,2442.5076,868.56408
2024/10/12 23:51:55.008,n,2442.7112,868.3616
2024/10/12 23:52:00.016,n,2442.0998,868.6108
2024/10/12 23:52:05.000,n,2442.4206,868.43976
2024/10/12 23:52:10.005,n,2441.8528,868.3616
2024/10/12 23:52:15.014,n,2442.2024,868.39304
2024/10/12 23:52:20.000,n,2442.362,868.47024
2024/10/12 23:52:25.001,n,2442.2746,868.486
2024/10/12 23:52:30.011,n,2442.5222,868.45544
2024/10/12 23:52:35.000,n,2441.78,868.26864
2024/10/12 23:52:40.014,n,2442.1728,868.47024
2024/10/12 23:52:45.007,n,2442.2746,868.47024
2024/10/12 23:52:50.018,n,2442.3476,868.424
2024/10/12 23:52:55.010,n,2441.9258,868.45544
2024/10/12 23:53:00.003,n,2442.042,868.53264
2024/10/12 23:53:05.000,n,2442.362,868.486
2024/10/12 23:53:10.006,n,2441.809,868.43976
2024/10/12 23:53:15.000,n,2442.3332,868.51736
2024/10/12 23:53:20.000,n,2441.6342,868.57936
2024/10/12 23:53:25.003,n,2441.78,868.39304
2024/10/12 23:53:30.000,n,2442.4058,868.47024
2024/10/12 23:53:35.000,n,2442.2024,868.53264
2024/10/12 23:53:40.000,n,2442.5076,868.50168
2024/10/12 23:53:45.000,n,2442.2602,868.26864
2024/10/12 23:53:50.000,n,2442.7554,868.486
2024/10/12 23:53:55.000,n,2442.8716,868.3616
2024/10/12 23:54:00.020,n,2442.0276,868.5484
2024/10/12 23:54:05.000,n,2441.9108,868.43976
2024/10/12 23:54:10.000,n,2442.3914,868.3616
2024/10/12 23:54:15.000,n,2442.7112,868.47024
2024/10/12 23:54:20.144,n,2442.4206,868.424
2024/10/12 23:54:25.000,n,2442.216,868.31488
2024/10/12 23:54:30.000,n,2442.9734,868.5484
2024/10/12 23:54:35.000,n,2442.2602,868.64128
2024/10/12 23:54:40.000,n,2442.216,868.25296
2024/10/12 23:54:45.000,n,2442.1582,868.57936
2024/10/12 23:54:50.000,n,2442.362,868.45544
2024/10/12 23:54:55.000,n,2441.78,868.43976
2024/10/12 23:55:00.003,n,2442.726,868.40872
2024/10/12 23:55:05.000,n,2442.5222,868.424
